epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.3656,0.1212,0.9591,0.9931,0.8607,0.9941,0.7596,0.9451,0.0001
2,0.2213,0.1406,0.9425,0.9983,0.7811,0.9955,0.7292,0.9473,0.0001
3,0.1839,0.1415,0.94,0.9966,0.7761,0.9952,0.7324,0.9354,0.0001
4,0.1682,0.3333,0.8723,1.0,0.5025,0.9817,0.6875,0.8417,0.0001
5,0.1768,0.0933,0.9681,0.9948,0.8905,0.9967,0.766,0.9459,0.0001
6,0.1726,0.2399,0.9017,1.0,0.6169,0.9909,0.7003,0.8731,0.0001
7,0.1599,0.1752,0.9246,1.0,0.7065,0.9943,0.7212,0.9028,0.0001
8,0.1692,0.1995,0.9157,1.0,0.6716,0.9961,0.7147,0.901,0.0001
9,0.162,0.2194,0.8978,1.0,0.602,0.9959,0.6827,0.9163,5e-05
10,0.156,0.1274,0.954,0.9983,0.8259,0.998,0.7276,0.9359,5e-05
11,0.1778,0.1812,0.9221,1.0,0.6965,0.9967,0.7067,0.907,5e-05
12,0.1374,0.1513,0.9374,1.0,0.7562,0.9971,0.7163,0.8962,5e-05
13,0.1556,0.1618,0.9349,1.0,0.7463,0.995,0.7228,0.8815,5e-05
14,0.1624,0.1689,0.931,1.0,0.7313,0.9969,0.7212,0.9007,2.5e-05
15,0.1429,0.286,0.8851,1.0,0.5522,0.9912,0.6955,0.8597,2.5e-05
16,0.1474,0.1908,0.9272,1.0,0.7164,0.9937,0.7163,0.8711,2.5e-05
17,0.1532,0.1832,0.9272,1.0,0.7164,0.9948,0.7179,0.8797,2.5e-05
18,0.1619,0.2389,0.8991,1.0,0.607,0.9942,0.7019,0.8669,1.25e-05
19,0.1341,0.1887,0.9246,1.0,0.7065,0.9947,0.7212,0.871,1.25e-05
20,0.1133,0.2113,0.9157,1.0,0.6716,0.9936,0.7163,0.8543,1.25e-05
21,0.161,0.1877,0.9285,1.0,0.7214,0.9969,0.7163,0.8859,1.25e-05
22,0.1532,0.1966,0.9208,1.0,0.6915,0.9962,0.7147,0.8819,6.25e-06
23,0.1647,0.197,0.9195,1.0,0.6866,0.9957,0.7147,0.8789,6.25e-06
24,0.1399,0.1856,0.9259,1.0,0.7114,0.9951,0.7163,0.865,6.25e-06
25,0.1326,0.2027,0.9208,1.0,0.6915,0.9947,0.7163,0.8588,6.25e-06
26,0.1326,0.1718,0.9323,1.0,0.7363,0.9957,0.7228,0.8703,3.125e-06
27,0.1256,0.1435,0.9413,0.9983,0.7761,0.9961,0.7308,0.8762,3.125e-06
28,0.1445,0.1743,0.931,1.0,0.7313,0.9956,0.7228,0.8722,3.125e-06
29,0.1449,0.2068,0.9208,1.0,0.6915,0.9941,0.7147,0.8551,3.125e-06
30,0.1548,0.2078,0.9195,1.0,0.6866,0.9942,0.7131,0.852,1.5625e-06
31,0.173,0.1567,0.9374,1.0,0.7562,0.9965,0.7228,0.8807,1.5625e-06
32,0.1544,0.1766,0.9323,1.0,0.7363,0.9956,0.7228,0.8685,1.5625e-06
33,0.1396,0.228,0.9055,1.0,0.6318,0.9945,0.7067,0.8544,1.5625e-06
34,0.1274,0.1764,0.9336,1.0,0.7413,0.9953,0.7196,0.8679,7.8125e-07
35,0.1509,0.2102,0.9195,1.0,0.6866,0.9939,0.7115,0.8535,7.8125e-07
36,0.1231,0.2471,0.8991,1.0,0.607,0.9899,0.7051,0.8294,7.8125e-07
37,0.1358,0.2042,0.9208,1.0,0.6915,0.9941,0.7147,0.8559,7.8125e-07
38,0.1395,0.217,0.9183,1.0,0.6816,0.9939,0.7115,0.8522,3.90625e-07
39,0.1595,0.1985,0.9234,1.0,0.7015,0.9931,0.7163,0.8492,3.90625e-07
