epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.3285,0.1419,0.9591,0.9931,0.8607,0.9931,0.7676,0.9307,0.0001
2,0.2119,0.1137,0.9668,0.9948,0.8856,0.9956,0.7869,0.9304,0.0001
3,0.1884,0.1107,0.9693,0.9931,0.9005,0.9959,0.7917,0.9458,0.0001
4,0.1663,0.144,0.9361,0.9966,0.7612,0.9959,0.758,0.951,0.0001
5,0.1666,0.115,0.9566,0.9983,0.8358,0.9945,0.7628,0.9108,0.0001
6,0.1782,0.1264,0.9566,0.9983,0.8358,0.9947,0.7692,0.9255,0.0001
7,0.151,0.1773,0.9361,0.9966,0.7612,0.9899,0.7596,0.8817,5e-05
8,0.1514,0.1928,0.9323,1.0,0.7363,0.9917,0.742,0.8633,5e-05
9,0.1418,0.1712,0.9298,0.9983,0.7313,0.9937,0.7516,0.889,5e-05
10,0.1555,0.2292,0.9042,1.0,0.6269,0.9888,0.7147,0.8089,5e-05
11,0.1602,0.1369,0.9464,0.9983,0.796,0.9939,0.7484,0.8738,2.5e-05
12,0.1268,0.2409,0.9106,1.0,0.6517,0.9906,0.7324,0.8493,2.5e-05
13,0.1431,0.2987,0.8966,1.0,0.597,0.9809,0.7067,0.7832,2.5e-05
14,0.1519,0.188,0.917,1.0,0.6766,0.9926,0.7324,0.8807,2.5e-05
15,0.1253,0.2039,0.9144,1.0,0.6667,0.9923,0.7163,0.8631,1.25e-05
16,0.1255,0.1369,0.9515,1.0,0.8109,0.9937,0.7628,0.8934,1.25e-05
17,0.1289,0.2326,0.9068,1.0,0.6368,0.9914,0.7228,0.8357,1.25e-05
18,0.1413,0.2399,0.9093,1.0,0.6468,0.9915,0.7163,0.8421,1.25e-05
19,0.1231,0.1725,0.9336,1.0,0.7413,0.9922,0.7548,0.8531,6.25e-06
20,0.1006,0.2206,0.9234,1.0,0.7015,0.989,0.7484,0.8266,6.25e-06
21,0.1473,0.2029,0.9195,1.0,0.6866,0.9917,0.7452,0.8527,6.25e-06
22,0.1396,0.1628,0.9349,1.0,0.7463,0.9939,0.7548,0.8816,6.25e-06
23,0.1493,0.1666,0.9361,1.0,0.7512,0.9921,0.7564,0.8489,3.125e-06
24,0.1212,0.1612,0.9413,1.0,0.7711,0.9924,0.7628,0.8444,3.125e-06
25,0.1253,0.1849,0.931,1.0,0.7313,0.9909,0.7468,0.8243,3.125e-06
26,0.1241,0.1809,0.9323,1.0,0.7363,0.9921,0.7532,0.8425,3.125e-06
27,0.1099,0.1896,0.9272,1.0,0.7164,0.9911,0.7516,0.8287,1.5625e-06
28,0.1278,0.161,0.9374,1.0,0.7562,0.9919,0.758,0.841,1.5625e-06
29,0.1359,0.1885,0.9246,1.0,0.7065,0.9912,0.7484,0.8298,1.5625e-06
30,0.1443,0.2174,0.9246,1.0,0.7065,0.9884,0.742,0.8182,1.5625e-06
31,0.1578,0.172,0.9323,1.0,0.7363,0.9922,0.7564,0.8517,7.8125e-07
32,0.1417,0.1487,0.9476,0.9983,0.801,0.9923,0.7692,0.8542,7.8125e-07
33,0.1247,0.1974,0.9246,1.0,0.7065,0.9902,0.7484,0.8305,7.8125e-07
34,0.117,0.1873,0.9246,1.0,0.7065,0.9911,0.7468,0.835,7.8125e-07
35,0.1366,0.1569,0.9438,1.0,0.7811,0.9919,0.7676,0.8394,3.90625e-07
36,0.1177,0.2009,0.9298,1.0,0.7264,0.9874,0.7484,0.8115,3.90625e-07
37,0.1199,0.1654,0.94,1.0,0.7662,0.9912,0.7612,0.835,3.90625e-07
