epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.367,0.8428,0.225,0.9464,0.988,0.8259,0.9878,0.75,0.9103,0.001
2,0.2024,0.9389,0.1626,0.9553,0.9794,0.8856,0.9898,0.7981,0.9266,0.001
3,0.1644,0.9492,0.1422,0.9617,0.9691,0.9403,0.9909,0.8205,0.9319,0.001
4,0.1436,0.9515,0.1235,0.9681,0.9794,0.9353,0.9918,0.8173,0.9366,0.001
5,0.1342,0.9533,0.1156,0.9681,0.9777,0.9403,0.9921,0.8253,0.9388,0.001
6,0.1297,0.9551,0.1105,0.9668,0.9742,0.9453,0.9926,0.8381,0.9411,0.001
7,0.1207,0.9574,0.1049,0.9693,0.9794,0.9403,0.9929,0.8349,0.9422,0.001
8,0.1152,0.958,0.1009,0.9693,0.9794,0.9403,0.993,0.8365,0.9431,0.001
9,0.1123,0.9576,0.1006,0.9681,0.988,0.9104,0.993,0.8045,0.9444,0.001
10,0.1119,0.9589,0.1066,0.9617,0.9588,0.9701,0.9932,0.8686,0.9457,0.001
11,0.0905,0.9666,0.0773,0.9668,0.9674,0.9652,0.9965,0.8638,0.9503,0.0001
12,0.0341,0.9914,0.0562,0.9821,0.9863,0.9701,0.9975,0.8478,0.9634,0.0001
13,0.0179,0.9982,0.0629,0.9757,0.9759,0.9751,0.9976,0.8654,0.963,0.0001
14,0.0068,0.9998,0.0564,0.9783,0.9828,0.9652,0.9976,0.8381,0.9552,0.0001
15,0.0053,1.0,0.0515,0.9834,0.9897,0.9652,0.9979,0.8478,0.9617,0.0001
16,0.004,0.9998,0.0546,0.9821,0.9845,0.9751,0.9978,0.8542,0.9622,0.0001
17,0.0023,0.9998,0.0596,0.9783,0.9794,0.9751,0.9978,0.8574,0.9601,0.0001
18,0.0024,1.0,0.0556,0.9821,0.988,0.9652,0.9977,0.8462,0.9591,0.0001
19,0.0032,0.9993,0.059,0.9757,0.9777,0.9701,0.9981,0.8622,0.959,0.0001
20,0.0015,1.0,0.0639,0.9796,0.9845,0.9652,0.9976,0.8494,0.9556,0.0001
21,0.0008,1.0,0.0623,0.9796,0.9863,0.9602,0.9978,0.8365,0.9572,0.0001
22,0.0008,1.0,0.0663,0.9783,0.9811,0.9701,0.9979,0.851,0.9529,0.0001
23,0.0008,1.0,0.0699,0.9796,0.9845,0.9652,0.9977,0.8446,0.9597,5e-05
24,0.0008,1.0,0.07,0.9796,0.9845,0.9652,0.9978,0.8413,0.9512,5e-05
25,0.0005,1.0,0.0666,0.9796,0.9863,0.9602,0.9979,0.8381,0.9521,5e-05
26,0.0004,1.0,0.0625,0.9808,0.988,0.9602,0.9979,0.8365,0.9555,5e-05
27,0.0004,1.0,0.0668,0.9821,0.9863,0.9701,0.998,0.8478,0.9542,2.5e-05
28,0.0004,1.0,0.0611,0.9821,0.988,0.9652,0.9979,0.8381,0.9532,2.5e-05
29,0.0004,1.0,0.0646,0.9808,0.9863,0.9652,0.998,0.8429,0.9561,2.5e-05
30,0.0002,1.0,0.0648,0.9808,0.9863,0.9652,0.998,0.8462,0.9575,2.5e-05
31,0.0002,1.0,0.0633,0.9808,0.9863,0.9652,0.998,0.8413,0.9567,1.25e-05
32,0.0002,1.0,0.0632,0.9821,0.988,0.9652,0.998,0.8333,0.9579,1.25e-05
33,0.0003,1.0,0.0628,0.9796,0.9863,0.9602,0.9981,0.8381,0.9573,1.25e-05
34,0.0005,1.0,0.0637,0.9796,0.9863,0.9602,0.998,0.8237,0.9556,1.25e-05
35,0.0002,1.0,0.0676,0.9796,0.9845,0.9652,0.998,0.8397,0.9565,6.25e-06
36,0.0004,1.0,0.065,0.9796,0.9863,0.9602,0.998,0.8349,0.9561,6.25e-06
37,0.0002,1.0,0.0709,0.9808,0.9845,0.9701,0.998,0.8446,0.9559,6.25e-06
38,0.0002,1.0,0.0702,0.9821,0.9845,0.9751,0.9981,0.8526,0.9547,6.25e-06
39,0.0002,1.0,0.0697,0.9821,0.9845,0.9751,0.998,0.8462,0.9551,3.125e-06
40,0.0004,1.0,0.0641,0.9796,0.9863,0.9602,0.998,0.8381,0.9558,3.125e-06
41,0.0004,1.0,0.0607,0.9834,0.988,0.9701,0.9983,0.8349,0.9517,1e-05
42,0.0003,1.0,0.0773,0.9808,0.9828,0.9751,0.998,0.859,0.9616,1e-05
43,0.0004,1.0,0.0725,0.9808,0.9828,0.9751,0.998,0.8397,0.9559,1e-05
44,0.0002,1.0,0.078,0.9796,0.9828,0.9701,0.9979,0.8526,0.9598,1e-05
45,0.0005,1.0,0.0767,0.977,0.9811,0.9652,0.9976,0.8446,0.9504,5e-06
46,0.0003,1.0,0.073,0.9821,0.9914,0.9552,0.9975,0.8205,0.9484,5e-06
47,0.0003,1.0,0.0731,0.9821,0.9897,0.9602,0.9978,0.8381,0.9535,5e-06
48,0.0001,1.0,0.0746,0.9796,0.9863,0.9602,0.9978,0.8429,0.954,5e-06
49,0.0002,1.0,0.0795,0.9808,0.9845,0.9701,0.9979,0.8526,0.9549,2.5e-06
50,0.0002,1.0,0.0746,0.9783,0.9845,0.9602,0.998,0.8429,0.9529,2.5e-06
51,0.0002,1.0,0.0724,0.9821,0.988,0.9652,0.998,0.8381,0.9544,2.5e-06
52,0.0001,1.0,0.0718,0.9821,0.9897,0.9602,0.998,0.8365,0.9522,2.5e-06
53,0.0005,0.9998,0.0722,0.9821,0.9897,0.9602,0.998,0.8285,0.9517,1.25e-06
54,0.0003,1.0,0.0747,0.9834,0.9897,0.9652,0.9979,0.8413,0.9549,1.25e-06
55,0.0002,1.0,0.0757,0.9808,0.9863,0.9652,0.9978,0.8429,0.9542,1.25e-06
