epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.3774,0.8534,0.2645,0.9259,0.9433,0.8756,0.9687,0.7724,0.8931,0.001
2,0.2211,0.9294,0.1808,0.9438,0.9553,0.9104,0.982,0.8061,0.9253,0.001
3,0.1843,0.9423,0.1634,0.9502,0.9536,0.9403,0.985,0.8301,0.9304,0.001
4,0.1667,0.9441,0.1583,0.9464,0.9433,0.9552,0.9866,0.8397,0.9335,0.001
5,0.1515,0.9495,0.1359,0.9527,0.9639,0.9204,0.9868,0.8045,0.9339,0.001
6,0.1453,0.9501,0.1308,0.954,0.957,0.9453,0.988,0.8237,0.9377,0.001
7,0.1318,0.9558,0.1246,0.954,0.9622,0.9303,0.9879,0.8061,0.9386,0.001
8,0.134,0.9547,0.1299,0.954,0.9519,0.9602,0.9901,0.8446,0.9416,0.001
9,0.1261,0.9549,0.1206,0.954,0.9536,0.9552,0.9899,0.8301,0.9422,0.001
10,0.1248,0.9553,0.1147,0.9566,0.9639,0.9353,0.9896,0.8093,0.943,0.001
11,0.1144,0.9598,0.0958,0.9579,0.9553,0.9652,0.9942,0.8478,0.9448,0.0001
12,0.0794,0.9709,0.086,0.9719,0.9725,0.9701,0.9943,0.8494,0.9518,0.0001
13,0.0567,0.9815,0.0812,0.9693,0.9691,0.9701,0.9952,0.8558,0.9583,0.0001
14,0.0497,0.9817,0.0693,0.9745,0.9794,0.9602,0.9952,0.8189,0.9573,0.0001
15,0.0369,0.9885,0.0736,0.9693,0.9708,0.9652,0.9956,0.8397,0.9548,0.0001
16,0.0369,0.9885,0.0778,0.9642,0.9656,0.9602,0.9959,0.8558,0.9552,0.0001
17,0.031,0.9903,0.0664,0.9757,0.9794,0.9652,0.9963,0.8429,0.9512,0.0001
18,0.0237,0.993,0.0693,0.9745,0.9777,0.9652,0.9958,0.8381,0.9557,0.0001
19,0.0221,0.9935,0.0716,0.9757,0.9811,0.9602,0.9953,0.8349,0.9528,0.0001
20,0.0191,0.9941,0.0763,0.9719,0.9725,0.9701,0.9961,0.8574,0.9528,0.0001
21,0.0159,0.9955,0.0753,0.9757,0.9759,0.9751,0.9954,0.8542,0.9563,5e-05
22,0.0165,0.9957,0.0699,0.9757,0.9777,0.9701,0.996,0.8381,0.9487,5e-05
23,0.0141,0.9964,0.0689,0.9757,0.9794,0.9652,0.9963,0.8429,0.9507,5e-05
24,0.0145,0.9957,0.0673,0.9757,0.9811,0.9602,0.9959,0.8429,0.9602,5e-05
25,0.0113,0.9973,0.0641,0.977,0.9811,0.9652,0.9963,0.8381,0.9514,2.5e-05
26,0.0125,0.9971,0.0703,0.9745,0.9777,0.9652,0.996,0.8413,0.9483,2.5e-05
27,0.0115,0.9973,0.0707,0.9745,0.9777,0.9652,0.9961,0.8381,0.9505,2.5e-05
28,0.0102,0.9971,0.0686,0.9745,0.9777,0.9652,0.9963,0.8429,0.9506,2.5e-05
29,0.009,0.9982,0.0713,0.9719,0.9725,0.9701,0.9967,0.8526,0.954,2.5e-05
30,0.0107,0.9973,0.0688,0.9796,0.9863,0.9602,0.9957,0.8125,0.9451,2.5e-05
31,0.0128,0.9971,0.0761,0.9745,0.9759,0.9701,0.9962,0.851,0.9452,2.5e-05
32,0.0091,0.9975,0.0686,0.9745,0.9777,0.9652,0.9965,0.8397,0.9444,2.5e-05
33,0.0084,0.9971,0.0746,0.9706,0.9742,0.9602,0.9962,0.8526,0.9488,1.25e-05
34,0.0074,0.9984,0.0725,0.9719,0.9759,0.9602,0.9962,0.8413,0.9477,1.25e-05
35,0.0081,0.9984,0.075,0.9719,0.9742,0.9652,0.9961,0.8542,0.9483,1.25e-05
36,0.0071,0.9984,0.0749,0.9706,0.9742,0.9602,0.9959,0.8478,0.9459,1.25e-05
37,0.0111,0.9971,0.0769,0.9719,0.9742,0.9652,0.9963,0.8478,0.946,6.25e-06
38,0.0121,0.9973,0.0741,0.9706,0.9742,0.9602,0.9966,0.8494,0.9467,6.25e-06
39,0.0071,0.9989,0.0692,0.9757,0.9811,0.9602,0.9962,0.8285,0.946,6.25e-06
40,0.0085,0.9977,0.068,0.977,0.9811,0.9652,0.9962,0.8333,0.9453,6.25e-06
41,0.0081,0.998,0.0703,0.9732,0.9777,0.9602,0.9961,0.8349,0.9425,1e-05
42,0.0076,0.9984,0.0733,0.9732,0.9759,0.9652,0.9962,0.851,0.9496,1e-05
43,0.0085,0.9975,0.0715,0.9745,0.9811,0.9552,0.9963,0.8429,0.9456,1e-05
44,0.0073,0.9977,0.0722,0.9757,0.9777,0.9701,0.996,0.8494,0.9513,1e-05
45,0.005,0.9986,0.0665,0.977,0.9794,0.9701,0.9969,0.8462,0.9471,1e-05
