epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.4116,0.8281,0.3721,0.7842,1.0,0.1592,0.9548,0.641,0.8769,0.001
2,0.2284,0.9292,0.1954,0.9464,0.9656,0.8905,0.9839,0.7949,0.9192,0.001
3,0.1874,0.9395,0.1666,0.9489,0.9725,0.8806,0.9859,0.7949,0.9258,0.001
4,0.1634,0.9483,0.1519,0.9515,0.9708,0.8955,0.9869,0.7965,0.9308,0.001
5,0.1422,0.9531,0.1489,0.9476,0.9467,0.9502,0.9879,0.8317,0.9347,0.001
6,0.1348,0.9529,0.1327,0.9604,0.9656,0.9453,0.989,0.8141,0.9359,0.001
7,0.128,0.9553,0.1267,0.9579,0.9639,0.9403,0.9895,0.8157,0.9373,0.001
8,0.1169,0.9585,0.1222,0.9617,0.9674,0.9453,0.99,0.8157,0.9387,0.001
9,0.1143,0.9605,0.1195,0.9642,0.9656,0.9602,0.9905,0.8285,0.9409,0.001
10,0.1112,0.9601,0.1235,0.954,0.9502,0.9652,0.991,0.8381,0.9424,0.001
11,0.0877,0.9698,0.074,0.9719,0.9811,0.9453,0.9954,0.8301,0.9527,0.0001
12,0.01,0.9991,0.0712,0.977,0.9811,0.9652,0.9958,0.8413,0.9481,0.0001
13,0.0029,1.0,0.0696,0.9745,0.9794,0.9602,0.9966,0.8462,0.9498,0.0001
14,0.0023,1.0,0.078,0.9745,0.9759,0.9701,0.9963,0.8526,0.9476,0.0001
15,0.0011,1.0,0.0751,0.9757,0.9811,0.9602,0.996,0.8381,0.9491,0.0001
16,0.0012,0.9995,0.0772,0.9719,0.9914,0.9154,0.996,0.7997,0.9455,0.0001
17,0.0011,1.0,0.0755,0.977,0.9914,0.9353,0.9961,0.8093,0.9436,5e-05
18,0.0008,0.9998,0.0865,0.9732,0.9742,0.9701,0.9959,0.8574,0.9543,5e-05
19,0.0011,0.9998,0.1011,0.9681,0.9656,0.9751,0.9958,0.8702,0.9525,5e-05
20,0.0022,0.9993,0.0735,0.9757,0.9794,0.9652,0.9964,0.8478,0.9562,5e-05
21,0.0005,1.0,0.0735,0.9783,0.9828,0.9652,0.9965,0.851,0.9554,2.5e-05
22,0.0004,1.0,0.0755,0.977,0.9811,0.9652,0.9966,0.8558,0.9563,2.5e-05
23,0.0003,1.0,0.0752,0.977,0.9794,0.9701,0.9967,0.8558,0.9548,2.5e-05
24,0.0003,1.0,0.0804,0.9745,0.9759,0.9701,0.9967,0.867,0.9558,2.5e-05
25,0.0005,1.0,0.0721,0.977,0.9811,0.9652,0.9968,0.8542,0.9542,2.5e-05
26,0.0003,1.0,0.076,0.9757,0.9794,0.9652,0.9967,0.8574,0.953,2.5e-05
27,0.0002,1.0,0.0755,0.9745,0.9794,0.9602,0.9967,0.851,0.952,2.5e-05
28,0.0003,1.0,0.0777,0.9719,0.9759,0.9602,0.9966,0.8622,0.9528,2.5e-05
29,0.0002,1.0,0.0784,0.977,0.9777,0.9751,0.9969,0.867,0.9526,2.5e-05
30,0.0002,1.0,0.0808,0.9745,0.9777,0.9652,0.9966,0.8638,0.9541,2.5e-05
31,0.0001,1.0,0.0805,0.9757,0.9759,0.9751,0.9969,0.867,0.9537,2.5e-05
32,0.0002,1.0,0.0908,0.9719,0.9708,0.9751,0.9968,0.8702,0.9549,2.5e-05
33,0.0001,1.0,0.0745,0.977,0.9828,0.9602,0.9968,0.8478,0.9507,1.25e-05
34,0.0002,1.0,0.0766,0.977,0.9828,0.9602,0.9967,0.8462,0.9505,1.25e-05
35,0.0001,1.0,0.0789,0.9757,0.9794,0.9652,0.9967,0.8494,0.9511,1.25e-05
36,0.0001,1.0,0.091,0.9732,0.9725,0.9751,0.9966,0.8686,0.9537,1.25e-05
37,0.0001,1.0,0.0774,0.9757,0.9794,0.9652,0.9968,0.8542,0.9525,6.25e-06
38,0.0001,1.0,0.0866,0.9745,0.9759,0.9701,0.9968,0.8686,0.952,6.25e-06
39,0.0001,1.0,0.0759,0.9783,0.9845,0.9602,0.9968,0.8478,0.951,6.25e-06
