epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.1011,0.9596,0.0593,0.9796,0.9914,0.9453,0.9973,0.7949,0.9394,0.0003
2,0.0443,0.9835,0.0521,0.9783,0.9966,0.9254,0.9983,0.766,0.9369,0.0003
3,0.0133,0.9957,0.0426,0.9821,0.9948,0.9453,0.999,0.774,0.9486,0.0003
4,0.0074,0.998,0.0537,0.9796,0.9811,0.9751,0.9986,0.8478,0.9548,0.0003
5,0.0249,0.9914,0.0807,0.9668,0.9588,0.99,0.9987,0.8862,0.9681,0.0003
6,0.018,0.9939,0.0556,0.9796,0.988,0.9552,0.9982,0.7853,0.9334,0.0003
7,0.0162,0.9932,0.0591,0.9796,0.9966,0.9303,0.9987,0.7804,0.9014,0.00015
8,0.0054,0.9984,0.0349,0.9898,0.9931,0.9801,0.9991,0.8526,0.9716,0.00015
9,0.0017,1.0,0.0366,0.9821,0.9845,0.9751,0.9993,0.8526,0.9571,0.00015
10,0.0009,1.0,0.0332,0.9872,0.9931,0.9701,0.9993,0.8478,0.9577,0.00015
11,0.0005,1.0,0.0363,0.986,0.988,0.9801,0.9993,0.8622,0.962,0.00015
12,0.0009,1.0,0.0317,0.9872,0.9914,0.9751,0.9993,0.8429,0.959,0.00015
13,0.0022,0.9995,0.0606,0.9821,0.9828,0.9801,0.9991,0.8734,0.9633,7.5e-05
14,0.001,0.9998,0.0359,0.986,0.9897,0.9751,0.9992,0.8478,0.9426,7.5e-05
15,0.0004,1.0,0.0352,0.986,0.9914,0.9701,0.9992,0.8446,0.9436,7.5e-05
16,0.0004,1.0,0.037,0.9898,0.9966,0.9701,0.9992,0.8285,0.9417,7.5e-05
17,0.0003,1.0,0.0358,0.9847,0.988,0.9751,0.9992,0.8558,0.9438,3.75e-05
18,0.0002,1.0,0.0353,0.986,0.9914,0.9701,0.9992,0.8413,0.9445,3.75e-05
19,0.0007,0.9998,0.0386,0.9847,0.9845,0.9851,0.9993,0.8654,0.9572,3.75e-05
20,0.0003,1.0,0.0354,0.9872,0.9897,0.9801,0.9993,0.8606,0.952,3.75e-05
21,0.0002,1.0,0.0346,0.986,0.9897,0.9751,0.9993,0.8606,0.95,1.875e-05
22,0.0002,1.0,0.0377,0.986,0.9863,0.9851,0.9993,0.867,0.9512,1.875e-05
23,0.0002,1.0,0.034,0.9885,0.9931,0.9751,0.9993,0.8542,0.9496,1.875e-05
24,0.0002,1.0,0.0357,0.9885,0.9897,0.9851,0.9993,0.8606,0.9512,1.875e-05
25,0.0002,1.0,0.0345,0.9898,0.9931,0.9801,0.9993,0.8606,0.9474,9.375e-06
26,0.0002,1.0,0.0339,0.9885,0.9931,0.9751,0.9993,0.851,0.9478,9.375e-06
27,0.0001,1.0,0.0357,0.9885,0.9897,0.9851,0.9993,0.8622,0.9502,9.375e-06
28,0.0002,1.0,0.034,0.9885,0.9931,0.9751,0.9993,0.8526,0.9483,9.375e-06
29,0.0002,1.0,0.0342,0.9898,0.9931,0.9801,0.9993,0.859,0.9478,4.6875e-06
30,0.0001,1.0,0.0344,0.9898,0.9931,0.9801,0.9993,0.859,0.9484,4.6875e-06
31,0.0001,1.0,0.0337,0.9898,0.9931,0.9801,0.9993,0.859,0.9483,4.6875e-06
32,0.0002,1.0,0.0342,0.9898,0.9948,0.9751,0.9993,0.851,0.9456,4.6875e-06
33,0.0001,1.0,0.034,0.9885,0.9931,0.9751,0.9992,0.8494,0.9465,2.34375e-06
34,0.0003,1.0,0.035,0.9898,0.9948,0.9751,0.9992,0.8429,0.9437,2.34375e-06
35,0.0001,1.0,0.0343,0.9898,0.9931,0.9801,0.9993,0.859,0.948,2.34375e-06
36,0.0002,1.0,0.034,0.9885,0.9931,0.9751,0.9993,0.851,0.9469,2.34375e-06
37,0.0001,1.0,0.0352,0.9885,0.9914,0.9801,0.9993,0.8622,0.9499,1.171875e-06
38,0.0001,1.0,0.0352,0.9872,0.9897,0.9801,0.9993,0.8622,0.9482,1.171875e-06
39,0.0001,1.0,0.0352,0.9872,0.9897,0.9801,0.9993,0.8622,0.9491,1.171875e-06
40,0.0002,1.0,0.0343,0.9898,0.9931,0.9801,0.9993,0.8526,0.9466,1.171875e-06
41,0.0002,1.0,0.0343,0.9898,0.9931,0.9801,0.9993,0.8574,0.9475,5.859375e-07
42,0.0002,1.0,0.0353,0.9885,0.9914,0.9801,0.9993,0.8622,0.9481,5.859375e-07
43,0.0002,1.0,0.0345,0.9898,0.9931,0.9801,0.9993,0.8558,0.9477,5.859375e-07
44,0.0001,1.0,0.0341,0.9898,0.9931,0.9801,0.9993,0.8542,0.9485,5.859375e-07
45,0.0002,1.0,0.035,0.9898,0.9931,0.9801,0.9993,0.8606,0.9468,2.9296875e-07
46,0.0002,1.0,0.0346,0.9898,0.9948,0.9751,0.9993,0.8429,0.9456,2.9296875e-07
47,0.0001,1.0,0.0343,0.9885,0.9931,0.9751,0.9993,0.8462,0.9464,2.9296875e-07
48,0.0001,1.0,0.034,0.9885,0.9931,0.9751,0.9993,0.8526,0.9471,2.9296875e-07
49,0.0002,1.0,0.0374,0.986,0.9863,0.9851,0.9993,0.8638,0.9499,1.46484375e-07
50,0.0002,1.0,0.0349,0.9898,0.9931,0.9801,0.9993,0.859,0.9476,1.46484375e-07
51,0.0002,1.0,0.0345,0.9898,0.9931,0.9801,0.9993,0.8558,0.9489,1.46484375e-07
