epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.2246,0.924,0.0703,0.9757,0.9725,0.9851,0.9985,0.875,0.9171,0.0001
2,0.0612,0.9786,0.057,0.9808,0.9845,0.9701,0.9985,0.8397,0.9405,0.0001
3,0.0435,0.9844,0.0629,0.977,0.9759,0.9801,0.998,0.8381,0.9202,0.0001
4,0.0333,0.9896,0.0492,0.9821,0.9828,0.9801,0.9986,0.8526,0.9311,0.0001
5,0.0248,0.9926,0.0733,0.9757,0.9966,0.9154,0.995,0.7804,0.8437,0.0001
6,0.0126,0.9966,0.0473,0.9821,0.988,0.9652,0.9977,0.8125,0.8769,0.0001
7,0.0198,0.9937,0.0533,0.9808,0.9948,0.9403,0.9987,0.8077,0.836,0.0001
8,0.0075,0.9982,0.0785,0.9745,0.9966,0.9104,0.9909,0.7676,0.7446,0.0001
9,0.018,0.9939,0.0592,0.9796,0.9863,0.9602,0.9961,0.8462,0.8631,0.0001
10,0.0199,0.9928,0.0556,0.9808,0.9794,0.9851,0.9987,0.8462,0.8974,0.0001
11,0.01,0.9966,0.0418,0.986,0.9948,0.9602,0.9965,0.7997,0.8324,5e-05
12,0.0051,0.9991,0.0607,0.9783,0.9759,0.9851,0.9989,0.8606,0.9156,5e-05
13,0.003,0.9993,0.042,0.9898,0.9983,0.9652,0.9944,0.7804,0.792,5e-05
14,0.002,0.9993,0.048,0.9821,0.9828,0.9801,0.9985,0.851,0.8818,5e-05
15,0.0029,0.9993,0.0408,0.9847,0.9931,0.9602,0.9944,0.8157,0.857,5e-05
16,0.0017,0.9995,0.0352,0.9872,0.9914,0.9751,0.9961,0.8269,0.8636,2.5e-05
17,0.0011,0.9995,0.0363,0.9872,0.9914,0.9751,0.9962,0.8317,0.8639,2.5e-05
18,0.0016,0.9995,0.036,0.9872,0.9914,0.9751,0.996,0.8285,0.8456,2.5e-05
19,0.0056,0.9977,0.0435,0.986,0.988,0.9801,0.9987,0.8606,0.8808,2.5e-05
20,0.0024,0.9995,0.0369,0.9872,0.9914,0.9751,0.9977,0.8381,0.8454,1.25e-05
21,0.0013,0.9995,0.0351,0.986,0.9931,0.9652,0.997,0.8317,0.8383,1.25e-05
22,0.0015,0.9995,0.0353,0.9885,0.9914,0.9801,0.9973,0.8429,0.8412,1.25e-05
23,0.0014,0.9995,0.0356,0.9885,0.9914,0.9801,0.9974,0.8446,0.8407,1.25e-05
24,0.0013,0.9995,0.0348,0.9885,0.9914,0.9801,0.9971,0.8349,0.8334,6.25e-06
25,0.0013,0.9995,0.0345,0.9885,0.9948,0.9701,0.9968,0.8253,0.8309,6.25e-06
26,0.0013,0.9995,0.034,0.9885,0.9948,0.9701,0.997,0.8269,0.8349,6.25e-06
27,0.0013,0.9995,0.0342,0.9885,0.9914,0.9801,0.9974,0.8381,0.839,6.25e-06
28,0.0013,0.9995,0.0327,0.9898,0.9966,0.9701,0.9971,0.8285,0.839,3.125e-06
29,0.0012,0.9995,0.0313,0.9898,0.9966,0.9701,0.997,0.8269,0.8369,3.125e-06
30,0.0012,0.9995,0.0316,0.9898,0.9948,0.9751,0.9968,0.8317,0.8343,3.125e-06
31,0.0012,0.9995,0.0335,0.9885,0.9914,0.9801,0.9977,0.8429,0.8479,3.125e-06
32,0.0012,0.9995,0.0332,0.9885,0.9914,0.9801,0.9977,0.8413,0.8438,1.5625e-06
33,0.0013,0.9995,0.0337,0.9885,0.9914,0.9801,0.9977,0.8413,0.8461,1.5625e-06
34,0.0011,0.9995,0.0323,0.9885,0.9914,0.9801,0.9976,0.8381,0.8443,1.5625e-06
35,0.001,0.9995,0.0327,0.9885,0.9948,0.9701,0.9974,0.8349,0.8393,1.5625e-06
36,0.0013,0.9995,0.0356,0.9885,0.9914,0.9801,0.9979,0.8462,0.8504,7.8125e-07
37,0.0015,0.9993,0.0326,0.9885,0.9914,0.9801,0.9978,0.8413,0.8488,7.8125e-07
38,0.0015,0.9995,0.0357,0.9885,0.9914,0.9801,0.998,0.8462,0.851,7.8125e-07
39,0.0011,0.9995,0.0351,0.9885,0.9914,0.9801,0.9981,0.8446,0.8511,7.8125e-07
40,0.0011,0.9995,0.0317,0.9898,0.9948,0.9751,0.9974,0.8349,0.8397,3.90625e-07
41,0.0012,0.9995,0.0373,0.9885,0.9914,0.9801,0.9982,0.8478,0.8577,3.90625e-07
42,0.0014,0.9995,0.0357,0.9885,0.9914,0.9801,0.9981,0.8462,0.8559,3.90625e-07
43,0.0012,0.9995,0.0366,0.9885,0.9914,0.9801,0.9981,0.8462,0.8562,3.90625e-07
44,0.0014,0.9995,0.0333,0.9885,0.9914,0.9801,0.9977,0.8429,0.8477,1.953125e-07
45,0.0011,0.9995,0.032,0.9898,0.9931,0.9801,0.9977,0.8381,0.8452,1.953125e-07
46,0.0011,0.9995,0.0338,0.9885,0.9914,0.9801,0.9979,0.8429,0.8476,1.953125e-07
47,0.0015,0.9995,0.0329,0.9885,0.9914,0.9801,0.9978,0.8429,0.8486,1.953125e-07
48,0.0012,0.9995,0.0321,0.9898,0.9931,0.9801,0.9977,0.8365,0.8454,9.765625e-08
49,0.0012,0.9995,0.0345,0.9885,0.9914,0.9801,0.9978,0.8446,0.8442,9.765625e-08
50,0.0012,0.9995,0.0329,0.9885,0.9914,0.9801,0.998,0.8381,0.851,9.765625e-08
51,0.0014,0.9995,0.0317,0.9898,0.9931,0.9801,0.9975,0.8365,0.8419,9.765625e-08
52,0.0012,0.9995,0.0347,0.9885,0.9914,0.9801,0.9979,0.8446,0.8482,4.8828125e-08
53,0.0012,0.9995,0.0349,0.9885,0.9914,0.9801,0.998,0.8462,0.8522,4.8828125e-08
54,0.0012,0.9995,0.0332,0.9885,0.9914,0.9801,0.9979,0.8429,0.8507,4.8828125e-08
55,0.0012,0.9995,0.0328,0.9885,0.9914,0.9801,0.9977,0.8413,0.8471,4.8828125e-08
56,0.0011,0.9995,0.0337,0.9885,0.9914,0.9801,0.9978,0.8429,0.8522,2.44140625e-08
57,0.0014,0.9995,0.0324,0.9898,0.9931,0.9801,0.9978,0.8381,0.8415,2.44140625e-08
58,0.0012,0.9995,0.0331,0.9885,0.9914,0.9801,0.998,0.8429,0.8521,2.44140625e-08
59,0.0016,0.9993,0.0316,0.9898,0.9966,0.9701,0.9972,0.8301,0.8382,2.44140625e-08
60,0.0013,0.9995,0.0337,0.9885,0.9914,0.9801,0.998,0.8429,0.8499,1.220703125e-08
61,0.0011,0.9995,0.0331,0.9885,0.9914,0.9801,0.998,0.8381,0.8515,1.220703125e-08
62,0.0012,0.9995,0.0314,0.9911,0.9948,0.9801,0.9974,0.8365,0.8425,1.220703125e-08
63,0.0013,0.9995,0.0319,0.9898,0.9931,0.9801,0.9977,0.8365,0.8444,1.220703125e-08
64,0.0011,0.9995,0.033,0.9885,0.9914,0.9801,0.9978,0.8429,0.8508,1.220703125e-08
65,0.0011,0.9995,0.0326,0.9885,0.9914,0.9801,0.9978,0.8397,0.849,1.220703125e-08
66,0.0012,0.9995,0.0308,0.9898,0.9966,0.9701,0.9971,0.8253,0.8381,1.220703125e-08
