epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.3634,0.7388,0.1108,0.9579,0.9605,0.9502,0.9943,0.8654,0.9348,0.0001
2,0.218,0.813,0.0683,0.9783,0.9828,0.9652,0.996,0.8478,0.9147,0.0001
3,0.1812,0.7796,0.1924,0.9285,0.9983,0.7264,0.9904,0.7147,0.7925,0.0001
4,0.1535,0.7947,0.1389,0.9527,0.9983,0.8209,0.9866,0.7276,0.7896,0.0001
5,0.1726,0.7523,0.1822,0.9323,0.9931,0.7562,0.9875,0.7196,0.7125,0.0001
6,0.1863,0.7557,0.0392,0.9872,0.9948,0.9652,0.9988,0.8269,0.866,0.0001
7,0.1485,0.7952,0.0382,0.9872,0.9966,0.9602,0.9965,0.8381,0.8919,0.0001
8,0.1699,0.8468,0.0494,0.9834,0.9914,0.9602,0.9984,0.7885,0.8823,0.0001
9,0.1588,0.7909,0.0949,0.9642,0.9983,0.8657,0.986,0.7756,0.7739,0.0001
10,0.1716,0.7798,0.0693,0.9757,0.9966,0.9154,0.9961,0.7676,0.8192,5e-05
11,0.1821,0.8274,0.0562,0.9808,0.9914,0.9502,0.9953,0.8125,0.8322,5e-05
12,0.1404,0.7807,0.0528,0.9808,0.988,0.9602,0.998,0.8093,0.8776,5e-05
13,0.1469,0.7857,0.0967,0.9668,0.9966,0.8806,0.9929,0.774,0.8361,5e-05
14,0.1787,0.8044,0.1124,0.9591,0.9983,0.8458,0.9865,0.75,0.7569,2.5e-05
15,0.1359,0.7717,0.1396,0.9451,0.9983,0.791,0.9834,0.7372,0.7329,2.5e-05
16,0.137,0.8227,0.1248,0.9566,0.9983,0.8358,0.9898,0.7452,0.7535,2.5e-05
17,0.1385,0.8301,0.0872,0.9681,0.9931,0.8955,0.9939,0.7804,0.8099,2.5e-05
18,0.1683,0.7778,0.1085,0.9617,0.9983,0.8557,0.9871,0.7452,0.7444,1.25e-05
19,0.1302,0.8247,0.1561,0.9451,1.0,0.7861,0.9769,0.7276,0.71,1.25e-05
20,0.1146,0.8128,0.1338,0.9515,0.9966,0.8209,0.9852,0.742,0.7279,1.25e-05
21,0.1677,0.7852,0.082,0.9719,0.9966,0.9005,0.9914,0.7676,0.7993,1.25e-05
22,0.1517,0.8164,0.0779,0.9732,0.9948,0.9104,0.9923,0.7772,0.8081,6.25e-06
23,0.1641,0.8597,0.0836,0.9706,0.9948,0.9005,0.9916,0.7676,0.7941,6.25e-06
24,0.1397,0.7965,0.0939,0.9668,0.9948,0.8856,0.9912,0.7612,0.7805,6.25e-06
25,0.1231,0.7972,0.0947,0.9668,0.9948,0.8856,0.9912,0.7612,0.771,6.25e-06
26,0.1354,0.8058,0.0866,0.9693,0.9931,0.9005,0.9927,0.766,0.7921,3.125e-06
27,0.1072,0.8441,0.0946,0.9668,0.9931,0.8905,0.9909,0.7628,0.7734,3.125e-06
28,0.1372,0.8243,0.094,0.9668,0.9931,0.8905,0.9915,0.7628,0.7696,3.125e-06
29,0.1394,0.8031,0.0903,0.9668,0.9931,0.8905,0.9916,0.7692,0.7871,3.125e-06
30,0.1584,0.7956,0.0945,0.9668,0.9931,0.8905,0.9918,0.7644,0.7825,1.5625e-06
31,0.162,0.7737,0.0911,0.9655,0.9914,0.8905,0.9917,0.7756,0.7906,1.5625e-06
32,0.1591,0.8035,0.1103,0.9617,0.9948,0.8657,0.9868,0.7548,0.7605,1.5625e-06
33,0.1385,0.8071,0.0971,0.9655,0.9931,0.8856,0.9904,0.7612,0.7632,1.5625e-06
34,0.113,0.7958,0.0983,0.9668,0.9931,0.8905,0.9907,0.7596,0.7683,7.8125e-07
35,0.1368,0.8213,0.0946,0.9655,0.9914,0.8905,0.9909,0.7644,0.7739,7.8125e-07
36,0.1105,0.7963,0.0991,0.9655,0.9931,0.8856,0.9901,0.7612,0.7663,7.8125e-07
37,0.123,0.7934,0.1048,0.9642,0.9948,0.8756,0.9892,0.7564,0.7657,7.8125e-07
38,0.1268,0.8103,0.1115,0.9617,0.9948,0.8657,0.9865,0.7548,0.7468,3.90625e-07
39,0.1441,0.8087,0.1024,0.963,0.9931,0.8756,0.9891,0.758,0.7504,3.90625e-07
40,0.1053,0.8259,0.1017,0.963,0.9931,0.8756,0.9888,0.758,0.7542,3.90625e-07
41,0.1471,0.7825,0.1037,0.963,0.9931,0.8756,0.9879,0.758,0.7567,3.90625e-07
42,0.1235,0.7764,0.0885,0.9681,0.9914,0.9005,0.9921,0.7788,0.7865,1.953125e-07
43,0.1182,0.8019,0.1038,0.963,0.9931,0.8756,0.9876,0.758,0.7556,1.953125e-07
44,0.1375,0.7963,0.0949,0.9668,0.9931,0.8905,0.9905,0.766,0.7725,1.953125e-07
45,0.117,0.8125,0.111,0.9617,0.9948,0.8657,0.987,0.7532,0.7531,1.953125e-07
46,0.1388,0.8148,0.1114,0.9642,0.9983,0.8657,0.9867,0.7516,0.7471,9.765625e-08
47,0.1129,0.8425,0.1048,0.9642,0.9948,0.8756,0.9892,0.758,0.7528,9.765625e-08
48,0.128,0.8328,0.1075,0.9617,0.9948,0.8657,0.9876,0.7548,0.7529,9.765625e-08
49,0.1223,0.815,0.1114,0.963,0.9983,0.8607,0.9871,0.7548,0.7404,9.765625e-08
50,0.1025,0.7677,0.1022,0.9642,0.9931,0.8806,0.9889,0.758,0.7573,4.8828125e-08
51,0.1503,0.8222,0.1022,0.9642,0.9948,0.8756,0.988,0.7596,0.7597,4.8828125e-08
52,0.1311,0.7893,0.1163,0.9604,0.9983,0.8507,0.9864,0.75,0.7467,4.8828125e-08
53,0.1099,0.7983,0.1054,0.963,0.9931,0.8756,0.989,0.758,0.7537,4.8828125e-08
54,0.1129,0.7758,0.0988,0.9668,0.9931,0.8905,0.99,0.7612,0.7595,2.44140625e-08
55,0.1319,0.8222,0.1004,0.9642,0.9931,0.8806,0.9894,0.7612,0.7594,2.44140625e-08
56,0.1295,0.8277,0.1072,0.9617,0.9948,0.8657,0.9885,0.758,0.7486,2.44140625e-08
57,0.1099,0.7968,0.0917,0.9655,0.9914,0.8905,0.9912,0.7708,0.7814,2.44140625e-08
58,0.1069,0.8392,0.0994,0.9655,0.9931,0.8856,0.9897,0.7596,0.7563,1.220703125e-08
59,0.1501,0.7927,0.0935,0.9668,0.9931,0.8905,0.9909,0.7708,0.7731,1.220703125e-08
60,0.1301,0.8184,0.0937,0.9668,0.9931,0.8905,0.9905,0.7676,0.7687,1.220703125e-08
61,0.1293,0.815,0.0968,0.9668,0.9931,0.8905,0.9889,0.7596,0.767,1.220703125e-08
62,0.1308,0.7665,0.1124,0.963,0.9966,0.8657,0.9883,0.7516,0.7511,1.220703125e-08
63,0.1444,0.8175,0.1082,0.9617,0.9948,0.8657,0.9881,0.7548,0.758,1.220703125e-08
64,0.1526,0.7753,0.1076,0.9617,0.9948,0.8657,0.9875,0.7548,0.7528,1.220703125e-08
65,0.1098,0.8218,0.0975,0.9668,0.9931,0.8905,0.9901,0.7612,0.7631,1.220703125e-08
66,0.1365,0.797,0.0995,0.9668,0.9931,0.8905,0.9882,0.7596,0.7586,1.220703125e-08
67,0.1351,0.7758,0.1004,0.9642,0.9931,0.8806,0.9899,0.7596,0.7616,1.220703125e-08
68,0.1257,0.813,0.095,0.9668,0.9931,0.8905,0.9901,0.7628,0.7687,1.220703125e-08
69,0.146,0.8484,0.0921,0.9655,0.9914,0.8905,0.9911,0.7692,0.7772,1.220703125e-08
70,0.1653,0.8459,0.1022,0.9642,0.9948,0.8756,0.9884,0.7564,0.7614,1.220703125e-08
71,0.1399,0.8225,0.1,0.9642,0.9931,0.8806,0.9899,0.7596,0.7608,1.220703125e-08
72,0.1462,0.8089,0.1007,0.963,0.9931,0.8756,0.9884,0.7596,0.7599,1.220703125e-08
73,0.1528,0.7882,0.0948,0.9668,0.9931,0.8905,0.9908,0.7644,0.7693,1.220703125e-08
74,0.119,0.845,0.0973,0.9668,0.9931,0.8905,0.9897,0.7596,0.7606,1.220703125e-08
75,0.1178,0.8107,0.1,0.9655,0.9931,0.8856,0.9899,0.7612,0.7585,1.220703125e-08
76,0.1319,0.811,0.1172,0.9591,0.9983,0.8458,0.9861,0.75,0.7478,1.220703125e-08
77,0.1337,0.7643,0.0946,0.9668,0.9931,0.8905,0.9905,0.7644,0.7681,1.220703125e-08
78,0.0966,0.8504,0.0954,0.9668,0.9931,0.8905,0.9902,0.7644,0.766,1.220703125e-08
79,0.117,0.7983,0.1121,0.9642,0.9983,0.8657,0.9864,0.7516,0.7456,1.220703125e-08
80,0.1373,0.7848,0.1107,0.963,0.9966,0.8657,0.9869,0.7548,0.7447,1.220703125e-08
81,0.1167,0.7952,0.0954,0.9668,0.9931,0.8905,0.9908,0.7612,0.7696,1.220703125e-08
82,0.1161,0.8328,0.1026,0.963,0.9931,0.8756,0.9895,0.7564,0.7567,1.220703125e-08
83,0.1275,0.7999,0.0945,0.9668,0.9931,0.8905,0.9906,0.7644,0.7682,1.220703125e-08
84,0.1327,0.801,0.0967,0.9668,0.9931,0.8905,0.9902,0.7612,0.7602,1.220703125e-08
85,0.1075,0.7974,0.1027,0.963,0.9931,0.8756,0.9892,0.758,0.7519,1.220703125e-08
86,0.14,0.8013,0.1057,0.9642,0.9948,0.8756,0.9877,0.7548,0.7531,1.220703125e-08
87,0.1746,0.8074,0.0984,0.9668,0.9931,0.8905,0.9887,0.7596,0.7608,1.220703125e-08
88,0.1376,0.8049,0.1121,0.9617,0.9948,0.8657,0.9869,0.7516,0.7486,1.220703125e-08
89,0.1244,0.7911,0.0984,0.9668,0.9931,0.8905,0.9897,0.7596,0.7579,1.220703125e-08
90,0.1175,0.8342,0.1048,0.9642,0.9948,0.8756,0.9881,0.758,0.7547,1.220703125e-08
91,0.1016,0.7843,0.1063,0.963,0.9948,0.8706,0.9874,0.7548,0.7508,1.220703125e-08
92,0.1235,0.7873,0.0995,0.9655,0.9931,0.8856,0.9896,0.7596,0.7587,1.220703125e-08
93,0.1175,0.7744,0.1116,0.963,0.9983,0.8607,0.987,0.7548,0.7525,1.220703125e-08
94,0.1529,0.8186,0.1091,0.963,0.9966,0.8657,0.9872,0.7564,0.7537,1.220703125e-08
95,0.1493,0.8423,0.1007,0.9655,0.9931,0.8856,0.9884,0.7596,0.7646,1.220703125e-08
96,0.1192,0.7972,0.0963,0.9668,0.9931,0.8905,0.99,0.7612,0.7628,1.220703125e-08
97,0.1455,0.8198,0.102,0.963,0.9931,0.8756,0.9894,0.7596,0.7556,1.220703125e-08
98,0.1347,0.7774,0.099,0.9668,0.9931,0.8905,0.9886,0.7596,0.7625,1.220703125e-08
99,0.1352,0.8247,0.109,0.9617,0.9948,0.8657,0.9868,0.7548,0.7503,1.220703125e-08
100,0.161,0.8123,0.1078,0.963,0.9966,0.8657,0.9871,0.7548,0.7505,1.220703125e-08
