epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.1571,0.9423,0.0412,0.9872,0.9931,0.9701,0.9988,0.8397,0.956,0.0001
2,0.0336,0.9889,0.0449,0.9821,0.988,0.9652,0.9985,0.7788,0.9664,0.0001
3,0.0126,0.9959,0.1007,0.9732,0.9674,0.99,0.9979,0.8702,0.9615,0.0001
4,0.009,0.9977,0.0388,0.986,0.988,0.9801,0.999,0.8221,0.9391,0.0001
5,0.0222,0.9928,0.0574,0.9783,0.9828,0.9652,0.9975,0.7901,0.9242,0.0001
6,0.0104,0.9968,0.0332,0.9885,0.9931,0.9751,0.9992,0.8446,0.9388,0.0001
7,0.0051,0.9989,0.0727,0.9757,0.9983,0.9104,0.9981,0.7853,0.9157,0.0001
8,0.0032,0.9993,0.0406,0.9885,0.9931,0.9751,0.999,0.8606,0.9512,0.0001
9,0.0005,1.0,0.0444,0.9872,0.9914,0.9751,0.9991,0.867,0.9615,0.0001
10,0.0005,1.0,0.0498,0.9885,0.9931,0.9751,0.999,0.8558,0.9603,5e-05
11,0.0003,1.0,0.051,0.9885,0.9931,0.9751,0.999,0.8622,0.9623,5e-05
12,0.0002,1.0,0.0507,0.9885,0.9931,0.9751,0.999,0.8558,0.9539,5e-05
13,0.0002,1.0,0.0516,0.9885,0.9931,0.9751,0.999,0.8526,0.953,5e-05
14,0.0001,1.0,0.0501,0.9885,0.9931,0.9751,0.9991,0.8558,0.9571,2.5e-05
15,0.0003,1.0,0.051,0.9872,0.9931,0.9701,0.9991,0.8542,0.9506,2.5e-05
16,0.0001,1.0,0.0518,0.9872,0.9931,0.9701,0.9991,0.8558,0.9497,2.5e-05
17,0.0001,1.0,0.0515,0.9885,0.9931,0.9751,0.9991,0.8542,0.9506,2.5e-05
18,0.0003,1.0,0.0509,0.9885,0.9931,0.9751,0.9991,0.8558,0.9488,1.25e-05
19,0.0003,1.0,0.0551,0.9872,0.9948,0.9652,0.9989,0.8365,0.9155,1.25e-05
20,0.0003,1.0,0.0513,0.9872,0.9931,0.9701,0.9991,0.8446,0.9353,1.25e-05
21,0.0002,1.0,0.0538,0.9872,0.9931,0.9701,0.9991,0.8365,0.932,1.25e-05
22,0.0002,1.0,0.0496,0.9885,0.9931,0.9751,0.9991,0.859,0.9451,6.25e-06
23,0.0003,1.0,0.0504,0.9885,0.9931,0.9751,0.9991,0.8574,0.9469,6.25e-06
24,0.0002,1.0,0.0517,0.9872,0.9931,0.9701,0.9991,0.8526,0.9418,6.25e-06
25,0.0001,1.0,0.0546,0.9872,0.9931,0.9701,0.999,0.8365,0.9363,6.25e-06
26,0.0001,1.0,0.0542,0.9872,0.9931,0.9701,0.9991,0.8349,0.936,3.125e-06
27,0.0002,1.0,0.0516,0.9872,0.9931,0.9701,0.9991,0.851,0.941,3.125e-06
28,0.0001,1.0,0.0538,0.9872,0.9931,0.9701,0.9991,0.8397,0.9387,3.125e-06
29,0.0001,1.0,0.0523,0.9872,0.9931,0.9701,0.9991,0.8462,0.9405,3.125e-06
30,0.0001,1.0,0.0516,0.9872,0.9931,0.9701,0.9991,0.851,0.9405,1.5625e-06
31,0.0001,1.0,0.0501,0.9885,0.9931,0.9751,0.9991,0.8542,0.9443,1.5625e-06
32,0.0001,1.0,0.0503,0.9885,0.9931,0.9751,0.9991,0.8542,0.9441,1.5625e-06
33,0.0001,1.0,0.0506,0.9885,0.9931,0.9751,0.9991,0.8526,0.9446,1.5625e-06
34,0.0001,1.0,0.0503,0.9885,0.9931,0.9751,0.9991,0.8526,0.9438,7.8125e-07
35,0.0001,1.0,0.0522,0.9872,0.9931,0.9701,0.9991,0.851,0.9413,7.8125e-07
36,0.0001,1.0,0.0498,0.9885,0.9931,0.9751,0.9991,0.8574,0.948,7.8125e-07
37,0.0002,1.0,0.0504,0.9885,0.9931,0.9751,0.9991,0.8526,0.9437,7.8125e-07
38,0.0001,1.0,0.0502,0.9885,0.9931,0.9751,0.9991,0.8574,0.9464,3.90625e-07
39,0.0001,1.0,0.0495,0.9885,0.9931,0.9751,0.9991,0.8558,0.9459,3.90625e-07
40,0.0002,1.0,0.053,0.9872,0.9931,0.9701,0.9991,0.8494,0.9405,3.90625e-07
41,0.0001,1.0,0.0493,0.9885,0.9931,0.9751,0.9992,0.8574,0.9481,3.90625e-07
42,0.0001,1.0,0.0498,0.9885,0.9931,0.9751,0.9991,0.8574,0.9482,1.953125e-07
43,0.0001,1.0,0.0489,0.9885,0.9931,0.9751,0.9992,0.8574,0.9498,1.953125e-07
44,0.0001,1.0,0.0499,0.9885,0.9931,0.9751,0.9991,0.8558,0.945,1.953125e-07
45,0.0001,1.0,0.0506,0.9885,0.9931,0.9751,0.9991,0.8558,0.944,1.953125e-07
46,0.0002,1.0,0.0493,0.9885,0.9931,0.9751,0.9991,0.8558,0.9463,9.765625e-08
47,0.0001,1.0,0.0505,0.9885,0.9931,0.9751,0.9991,0.8558,0.9439,9.765625e-08
48,0.0001,1.0,0.0517,0.9872,0.9931,0.9701,0.9991,0.851,0.9427,9.765625e-08
49,0.0001,1.0,0.0495,0.9885,0.9931,0.9751,0.9991,0.8558,0.9457,9.765625e-08
50,0.0001,1.0,0.0501,0.9885,0.9931,0.9751,0.9991,0.8526,0.9458,4.8828125e-08
51,0.0002,1.0,0.0525,0.9872,0.9931,0.9701,0.9991,0.8526,0.9419,4.8828125e-08
52,0.0002,1.0,0.0494,0.9885,0.9931,0.9751,0.9991,0.8558,0.9461,4.8828125e-08
53,0.0001,1.0,0.0492,0.9885,0.9931,0.9751,0.9991,0.8574,0.9481,4.8828125e-08
54,0.0001,1.0,0.0505,0.9885,0.9931,0.9751,0.9991,0.8558,0.9447,2.44140625e-08
55,0.0001,1.0,0.05,0.9885,0.9931,0.9751,0.9991,0.8542,0.9438,2.44140625e-08
56,0.0001,1.0,0.0493,0.9885,0.9931,0.9751,0.9991,0.8574,0.9469,2.44140625e-08
57,0.0001,1.0,0.052,0.9872,0.9931,0.9701,0.9991,0.8526,0.9429,2.44140625e-08
58,0.0001,1.0,0.0501,0.9885,0.9931,0.9751,0.9991,0.8558,0.9457,1.220703125e-08
59,0.0002,1.0,0.0539,0.9872,0.9931,0.9701,0.9991,0.8446,0.9381,1.220703125e-08
60,0.0001,1.0,0.0508,0.9885,0.9931,0.9751,0.9991,0.8542,0.9446,1.220703125e-08
61,0.0001,1.0,0.0511,0.9872,0.9931,0.9701,0.9991,0.851,0.9443,1.220703125e-08
62,0.0001,1.0,0.0516,0.9872,0.9931,0.9701,0.9991,0.851,0.9416,1.220703125e-08
63,0.0001,1.0,0.0518,0.9872,0.9931,0.9701,0.9991,0.851,0.9412,1.220703125e-08
64,0.0001,1.0,0.0501,0.9885,0.9931,0.9751,0.9991,0.8542,0.9456,1.220703125e-08
65,0.0001,1.0,0.0517,0.9885,0.9931,0.9751,0.9991,0.8526,0.9424,1.220703125e-08
66,0.0002,1.0,0.054,0.9872,0.9931,0.9701,0.9991,0.8462,0.9366,1.220703125e-08
67,0.0001,1.0,0.0495,0.9885,0.9931,0.9751,0.9991,0.859,0.9491,1.220703125e-08
68,0.0001,1.0,0.0502,0.9885,0.9931,0.9751,0.9991,0.8558,0.9458,1.220703125e-08
69,0.0001,1.0,0.0514,0.9872,0.9931,0.9701,0.9991,0.8526,0.9408,1.220703125e-08
70,0.0001,1.0,0.05,0.9885,0.9931,0.9751,0.9991,0.8574,0.9478,1.220703125e-08
71,0.0001,1.0,0.0496,0.9885,0.9931,0.9751,0.9991,0.8574,0.9471,1.220703125e-08
72,0.0003,0.9998,0.0515,0.9885,0.9931,0.9751,0.9991,0.8542,0.9424,1.220703125e-08
73,0.0001,1.0,0.05,0.9885,0.9931,0.9751,0.9991,0.8574,0.9475,1.220703125e-08
74,0.0002,1.0,0.0495,0.9885,0.9931,0.9751,0.9991,0.8558,0.9471,1.220703125e-08
75,0.0001,1.0,0.0524,0.9872,0.9931,0.9701,0.9991,0.8494,0.9415,1.220703125e-08
76,0.0002,1.0,0.0522,0.9872,0.9931,0.9701,0.9991,0.851,0.9413,1.220703125e-08
77,0.0001,1.0,0.0521,0.9872,0.9931,0.9701,0.9991,0.8526,0.9402,1.220703125e-08
78,0.0002,1.0,0.0511,0.9885,0.9931,0.9751,0.9991,0.8526,0.944,1.220703125e-08
79,0.0001,1.0,0.0505,0.9885,0.9931,0.9751,0.9991,0.8526,0.9434,1.220703125e-08
80,0.0001,1.0,0.0534,0.9872,0.9931,0.9701,0.9991,0.8429,0.9403,1.220703125e-08
81,0.0001,1.0,0.051,0.9885,0.9931,0.9751,0.9991,0.851,0.9432,1.220703125e-08
82,0.0001,1.0,0.0514,0.9872,0.9931,0.9701,0.9991,0.8526,0.944,1.220703125e-08
83,0.0002,1.0,0.051,0.9885,0.9931,0.9751,0.9991,0.8526,0.9418,1.220703125e-08
84,0.0001,1.0,0.0505,0.9885,0.9931,0.9751,0.9991,0.8542,0.943,1.220703125e-08
85,0.0001,1.0,0.0497,0.9885,0.9931,0.9751,0.9991,0.8558,0.9455,1.220703125e-08
86,0.0001,1.0,0.0501,0.9885,0.9931,0.9751,0.9991,0.8574,0.9469,1.220703125e-08
87,0.0001,1.0,0.0497,0.9885,0.9931,0.9751,0.9991,0.8558,0.9459,1.220703125e-08
88,0.0001,1.0,0.0496,0.9885,0.9931,0.9751,0.9991,0.8558,0.9476,1.220703125e-08
89,0.0001,1.0,0.0494,0.9885,0.9931,0.9751,0.9991,0.8558,0.9467,1.220703125e-08
90,0.0002,1.0,0.0517,0.9885,0.9931,0.9751,0.9991,0.8558,0.9438,1.220703125e-08
91,0.0001,1.0,0.0504,0.9885,0.9931,0.9751,0.9991,0.8526,0.9441,1.220703125e-08
92,0.0001,1.0,0.0506,0.9885,0.9931,0.9751,0.9991,0.8542,0.9448,1.220703125e-08
93,0.0001,1.0,0.0529,0.9872,0.9931,0.9701,0.9991,0.8478,0.9382,1.220703125e-08
94,0.0001,1.0,0.0493,0.9885,0.9931,0.9751,0.9991,0.8574,0.947,1.220703125e-08
95,0.0001,1.0,0.0511,0.9885,0.9931,0.9751,0.9991,0.851,0.9439,1.220703125e-08
96,0.0001,1.0,0.0502,0.9885,0.9931,0.9751,0.9991,0.8574,0.9456,1.220703125e-08
97,0.0002,1.0,0.0505,0.9885,0.9931,0.9751,0.9991,0.851,0.9437,1.220703125e-08
98,0.0001,1.0,0.0529,0.9872,0.9931,0.9701,0.9991,0.8478,0.9396,1.220703125e-08
99,0.0001,1.0,0.0517,0.9872,0.9931,0.9701,0.9991,0.8494,0.9427,1.220703125e-08
100,0.0003,1.0,0.0535,0.9872,0.9931,0.9701,0.9991,0.8462,0.9382,1.220703125e-08
