epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.1298,0.951,0.0632,0.9783,0.9777,0.9801,0.9978,0.8558,0.9514,0.0001
2,0.0307,0.9889,0.0559,0.9834,0.9845,0.9801,0.9981,0.8734,0.9792,0.0001
3,0.0106,0.9966,0.0473,0.9821,0.988,0.9652,0.9983,0.8253,0.9505,0.0001
4,0.0041,0.9993,0.0628,0.9783,0.9897,0.9453,0.9981,0.8077,0.9361,0.0001
5,0.0078,0.9973,0.09,0.9757,0.9777,0.9701,0.9972,0.8718,0.9696,0.0001
6,0.0079,0.998,0.0468,0.9796,0.9863,0.9602,0.9985,0.8574,0.9607,0.0001
7,0.0038,0.9993,0.0423,0.986,0.9914,0.9701,0.9989,0.8301,0.9475,0.0001
8,0.003,0.9991,0.048,0.986,0.988,0.9801,0.9988,0.851,0.9553,0.0001
9,0.0138,0.9944,0.0701,0.977,0.9914,0.9353,0.9976,0.7804,0.9382,0.0001
10,0.0088,0.9966,0.1356,0.9681,0.9983,0.8806,0.9962,0.7532,0.8965,0.0001
11,0.0054,0.9982,0.0677,0.9808,0.9794,0.9851,0.9986,0.8734,0.9445,5e-05
12,0.0056,0.998,0.05,0.9834,0.9931,0.9552,0.9987,0.8125,0.9332,5e-05
13,0.0013,0.9995,0.0379,0.9847,0.988,0.9751,0.9991,0.8446,0.9475,5e-05
14,0.0005,1.0,0.038,0.9834,0.9897,0.9652,0.9991,0.8446,0.9443,5e-05
15,0.0012,0.9998,0.0393,0.9872,0.9983,0.9552,0.9992,0.8157,0.9416,5e-05
16,0.0002,1.0,0.0358,0.9872,0.9966,0.9602,0.9992,0.8317,0.9471,5e-05
17,0.0001,1.0,0.0361,0.9872,0.9948,0.9652,0.9992,0.8429,0.95,5e-05
18,0.0002,1.0,0.0396,0.9885,0.9966,0.9652,0.9992,0.8269,0.9484,5e-05
19,0.0001,1.0,0.0434,0.9911,1.0,0.9652,0.9992,0.8189,0.9446,2.5e-05
20,0.0001,1.0,0.0397,0.9885,0.9966,0.9652,0.9991,0.8285,0.9455,2.5e-05
21,0.0001,1.0,0.0385,0.9872,0.9948,0.9652,0.9991,0.8397,0.9482,2.5e-05
22,0.0041,0.9993,0.037,0.9872,0.9948,0.9652,0.9992,0.8349,0.9421,2.5e-05
23,0.0031,0.9989,0.0343,0.9898,0.9948,0.9751,0.9991,0.8526,0.9433,1.25e-05
24,0.0015,0.9993,0.0302,0.9911,0.9966,0.9751,0.9992,0.851,0.9437,1.25e-05
25,0.0003,1.0,0.0299,0.9898,0.9948,0.9751,0.9992,0.8542,0.9442,1.25e-05
26,0.0003,1.0,0.0322,0.9923,0.9983,0.9751,0.9992,0.8397,0.9429,1.25e-05
27,0.0004,1.0,0.034,0.9923,0.9983,0.9751,0.9992,0.8365,0.9399,6.25e-06
28,0.0005,1.0,0.0356,0.9923,0.9983,0.9751,0.9992,0.8349,0.9381,6.25e-06
29,0.0002,1.0,0.0335,0.9923,0.9983,0.9751,0.9992,0.8365,0.9408,6.25e-06
30,0.0002,1.0,0.0314,0.9898,0.9948,0.9751,0.9992,0.851,0.9435,6.25e-06
31,0.0002,1.0,0.0364,0.9923,0.9983,0.9751,0.9992,0.8269,0.9401,3.125e-06
32,0.0002,1.0,0.0346,0.9923,0.9983,0.9751,0.9992,0.8365,0.9403,3.125e-06
33,0.0003,1.0,0.0335,0.9923,0.9983,0.9751,0.9992,0.8349,0.9414,3.125e-06
34,0.0002,1.0,0.0359,0.9923,0.9983,0.9751,0.9992,0.8317,0.94,3.125e-06
35,0.0002,1.0,0.034,0.9923,0.9983,0.9751,0.9992,0.8397,0.9416,1.5625e-06
