epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.1595,0.9549,0.0682,0.9732,0.9725,0.9751,0.9977,0.8718,0.9747,0.0001
2,0.0383,0.9892,0.0391,0.9821,0.9863,0.9701,0.9991,0.8349,0.9454,0.0001
3,0.0157,0.9968,0.0836,0.9681,0.9605,0.99,0.9988,0.9038,0.9787,0.0001
4,0.0113,0.9966,0.0575,0.977,0.9914,0.9353,0.9984,0.774,0.8944,0.0001
5,0.0058,0.9991,0.0376,0.9885,0.9966,0.9652,0.9947,0.8141,0.8708,0.0001
6,0.008,0.9984,0.0409,0.9847,0.9897,0.9701,0.9987,0.8622,0.9611,5e-05
7,0.0052,0.9986,0.0337,0.9911,0.9983,0.9701,0.9991,0.8494,0.96,5e-05
8,0.0036,0.9993,0.0376,0.9885,0.9931,0.9751,0.9987,0.851,0.936,5e-05
9,0.002,1.0,0.0381,0.9898,0.9948,0.9751,0.9987,0.8478,0.9293,5e-05
10,0.0022,0.9995,0.0429,0.9898,0.9983,0.9652,0.9975,0.8478,0.9361,2.5e-05
11,0.0012,1.0,0.0399,0.9898,0.9948,0.9751,0.9988,0.8542,0.9494,2.5e-05
12,0.0009,1.0,0.0428,0.9911,0.9966,0.9751,0.9987,0.8429,0.9286,2.5e-05
13,0.001,1.0,0.0419,0.9911,0.9966,0.9751,0.9987,0.8494,0.9242,2.5e-05
14,0.0008,1.0,0.0455,0.9911,0.9966,0.9751,0.9986,0.8413,0.9097,1.25e-05
15,0.0007,1.0,0.0423,0.9898,0.9948,0.9751,0.9987,0.8526,0.9282,1.25e-05
16,0.0007,1.0,0.0432,0.9898,0.9948,0.9751,0.9987,0.851,0.9216,1.25e-05
17,0.0008,1.0,0.045,0.9885,0.9948,0.9701,0.9986,0.8478,0.9187,1.25e-05
18,0.0007,1.0,0.0446,0.9898,0.9948,0.9751,0.9987,0.851,0.9206,6.25e-06
19,0.0006,1.0,0.0444,0.9898,0.9948,0.9751,0.9987,0.851,0.9222,6.25e-06
20,0.0006,1.0,0.0456,0.9911,0.9966,0.9751,0.9986,0.8478,0.9156,6.25e-06
21,0.0006,1.0,0.0438,0.9898,0.9948,0.9751,0.9988,0.8558,0.9305,6.25e-06
22,0.0007,1.0,0.0444,0.9898,0.9948,0.9751,0.9987,0.8558,0.931,3.125e-06
23,0.0006,1.0,0.0455,0.9898,0.9948,0.9751,0.9986,0.8462,0.9159,3.125e-06
24,0.0006,1.0,0.0439,0.9898,0.9948,0.9751,0.9987,0.8542,0.9326,3.125e-06
25,0.0007,1.0,0.045,0.9898,0.9948,0.9751,0.9987,0.8494,0.9195,3.125e-06
26,0.001,1.0,0.0506,0.9898,0.9983,0.9652,0.9968,0.8189,0.8866,1.5625e-06
27,0.0007,1.0,0.0485,0.9898,0.9983,0.9652,0.9971,0.8253,0.8903,1.5625e-06
28,0.0006,1.0,0.0484,0.9911,0.9983,0.9701,0.9979,0.8349,0.9074,1.5625e-06
29,0.0005,1.0,0.044,0.9898,0.9948,0.9751,0.9985,0.8494,0.9229,1.5625e-06
30,0.0006,1.0,0.0456,0.9898,0.9948,0.9751,0.9983,0.8494,0.9152,7.8125e-07
31,0.0005,1.0,0.0443,0.9898,0.9948,0.9751,0.9986,0.8558,0.9296,7.8125e-07
32,0.0006,1.0,0.0445,0.9898,0.9948,0.9751,0.9985,0.851,0.924,7.8125e-07
33,0.0005,1.0,0.0451,0.9898,0.9948,0.9751,0.9984,0.8494,0.9148,7.8125e-07
34,0.0006,1.0,0.0443,0.9898,0.9948,0.9751,0.9986,0.851,0.9263,3.90625e-07
35,0.0005,1.0,0.046,0.9898,0.9948,0.9751,0.9982,0.8462,0.9103,3.90625e-07
36,0.0008,1.0,0.0465,0.9898,0.9948,0.9751,0.9981,0.8446,0.9078,3.90625e-07
37,0.0006,1.0,0.0466,0.9898,0.9966,0.9701,0.9981,0.8462,0.911,3.90625e-07
38,0.0006,1.0,0.0443,0.9898,0.9948,0.9751,0.9985,0.851,0.9249,1.953125e-07
39,0.0005,1.0,0.044,0.9898,0.9948,0.9751,0.9985,0.8542,0.9252,1.953125e-07
40,0.0005,1.0,0.0446,0.9898,0.9948,0.9751,0.9984,0.8494,0.9219,1.953125e-07
41,0.0006,1.0,0.0439,0.9898,0.9948,0.9751,0.9986,0.8558,0.9258,1.953125e-07
42,0.0005,1.0,0.0446,0.9898,0.9948,0.9751,0.9985,0.8494,0.9204,9.765625e-08
43,0.0008,1.0,0.0469,0.9898,0.9966,0.9701,0.9981,0.8446,0.9055,9.765625e-08
44,0.0005,1.0,0.0451,0.9898,0.9948,0.9751,0.9984,0.8494,0.9167,9.765625e-08
45,0.0006,1.0,0.0448,0.9898,0.9948,0.9751,0.9984,0.8478,0.9203,9.765625e-08
46,0.0006,1.0,0.0467,0.9898,0.9966,0.9701,0.9982,0.8446,0.911,4.8828125e-08
47,0.0005,1.0,0.0445,0.9898,0.9948,0.9751,0.9985,0.8494,0.9192,4.8828125e-08
48,0.0005,1.0,0.0443,0.9898,0.9948,0.9751,0.9986,0.8558,0.9262,4.8828125e-08
49,0.0006,1.0,0.0434,0.9898,0.9948,0.9751,0.9987,0.8558,0.9307,4.8828125e-08
50,0.0006,1.0,0.0434,0.9898,0.9948,0.9751,0.9986,0.8558,0.9329,2.44140625e-08
51,0.0005,1.0,0.0448,0.9898,0.9948,0.9751,0.9984,0.851,0.9224,2.44140625e-08
52,0.0005,1.0,0.0442,0.9898,0.9948,0.9751,0.9986,0.851,0.9244,2.44140625e-08
53,0.0008,1.0,0.0445,0.9898,0.9948,0.9751,0.9985,0.8494,0.9182,2.44140625e-08
54,0.0005,1.0,0.0447,0.9898,0.9948,0.9751,0.9984,0.8494,0.9209,1.220703125e-08
55,0.0006,1.0,0.0439,0.9898,0.9948,0.9751,0.9986,0.8574,0.9269,1.220703125e-08
56,0.0005,1.0,0.0456,0.9898,0.9948,0.9751,0.9984,0.8478,0.9158,1.220703125e-08
57,0.0005,1.0,0.0439,0.9898,0.9948,0.9751,0.9986,0.8558,0.9311,1.220703125e-08
58,0.0008,1.0,0.0472,0.9911,0.9983,0.9701,0.9982,0.8429,0.9087,1.220703125e-08
59,0.0006,1.0,0.0452,0.9898,0.9948,0.9751,0.9984,0.8494,0.9186,1.220703125e-08
60,0.0005,1.0,0.0445,0.9898,0.9948,0.9751,0.9985,0.8494,0.9247,1.220703125e-08
61,0.0005,1.0,0.0464,0.9898,0.9948,0.9751,0.9983,0.8462,0.9133,1.220703125e-08
62,0.0006,1.0,0.0477,0.9911,0.9983,0.9701,0.998,0.8365,0.9024,1.220703125e-08
63,0.0005,1.0,0.0447,0.9898,0.9948,0.9751,0.9985,0.8494,0.92,1.220703125e-08
64,0.0005,1.0,0.0449,0.9898,0.9948,0.9751,0.9985,0.8494,0.9202,1.220703125e-08
65,0.0005,1.0,0.0463,0.9898,0.9966,0.9701,0.9983,0.8462,0.9119,1.220703125e-08
66,0.0005,1.0,0.0457,0.9898,0.9948,0.9751,0.9984,0.8462,0.9141,1.220703125e-08
67,0.0005,1.0,0.0444,0.9898,0.9948,0.9751,0.9985,0.851,0.9225,1.220703125e-08
68,0.0005,1.0,0.0459,0.9898,0.9948,0.9751,0.9984,0.8462,0.9161,1.220703125e-08
69,0.0005,1.0,0.0458,0.9898,0.9948,0.9751,0.9984,0.8462,0.916,1.220703125e-08
70,0.0006,1.0,0.0444,0.9898,0.9948,0.9751,0.9985,0.851,0.9206,1.220703125e-08
71,0.0005,1.0,0.0446,0.9898,0.9948,0.9751,0.9985,0.8494,0.9212,1.220703125e-08
72,0.0005,1.0,0.0461,0.9898,0.9948,0.9751,0.9982,0.8462,0.9086,1.220703125e-08
73,0.0005,1.0,0.0447,0.9898,0.9948,0.9751,0.9985,0.8494,0.9192,1.220703125e-08
74,0.0012,0.9998,0.0488,0.9911,0.9983,0.9701,0.9978,0.8317,0.9033,1.220703125e-08
75,0.0005,1.0,0.0444,0.9898,0.9948,0.9751,0.9985,0.851,0.9218,1.220703125e-08
76,0.0007,1.0,0.0437,0.9898,0.9948,0.9751,0.9987,0.859,0.9341,1.220703125e-08
77,0.0006,1.0,0.0433,0.9898,0.9948,0.9751,0.9987,0.859,0.9345,1.220703125e-08
78,0.0007,1.0,0.0446,0.9898,0.9948,0.9751,0.9985,0.8494,0.9232,1.220703125e-08
79,0.0005,1.0,0.0438,0.9898,0.9948,0.9751,0.9987,0.859,0.9317,1.220703125e-08
80,0.0005,1.0,0.0467,0.9885,0.9948,0.9701,0.9983,0.8462,0.9097,1.220703125e-08
81,0.0005,1.0,0.0446,0.9898,0.9948,0.9751,0.9985,0.8494,0.9214,1.220703125e-08
82,0.0005,1.0,0.0439,0.9898,0.9948,0.9751,0.9986,0.8526,0.9218,1.220703125e-08
83,0.0006,1.0,0.0446,0.9898,0.9948,0.9751,0.9986,0.8574,0.9276,1.220703125e-08
84,0.0005,1.0,0.0453,0.9898,0.9948,0.9751,0.9985,0.8494,0.9194,1.220703125e-08
85,0.0012,0.9998,0.0434,0.9898,0.9948,0.9751,0.9987,0.859,0.9319,1.220703125e-08
86,0.0005,1.0,0.0452,0.9898,0.9948,0.9751,0.9984,0.8478,0.9166,1.220703125e-08
87,0.0006,1.0,0.0444,0.9898,0.9948,0.9751,0.9986,0.8558,0.9233,1.220703125e-08
88,0.0007,1.0,0.0439,0.9898,0.9948,0.9751,0.9986,0.859,0.9317,1.220703125e-08
89,0.0005,1.0,0.0443,0.9898,0.9948,0.9751,0.9986,0.8542,0.9264,1.220703125e-08
90,0.0005,1.0,0.0453,0.9898,0.9948,0.9751,0.9984,0.8494,0.9159,1.220703125e-08
91,0.0005,1.0,0.0471,0.9911,0.9983,0.9701,0.9982,0.8397,0.9091,1.220703125e-08
92,0.0005,1.0,0.0436,0.9898,0.9948,0.9751,0.9986,0.851,0.9233,1.220703125e-08
93,0.0006,1.0,0.0464,0.9885,0.9948,0.9701,0.9982,0.8462,0.911,1.220703125e-08
94,0.0006,1.0,0.0455,0.9898,0.9948,0.9751,0.9984,0.8478,0.9149,1.220703125e-08
95,0.0006,1.0,0.044,0.9898,0.9948,0.9751,0.9986,0.8558,0.931,1.220703125e-08
96,0.0007,1.0,0.0442,0.9898,0.9948,0.9751,0.9988,0.8638,0.9383,1.220703125e-08
97,0.0006,1.0,0.0438,0.9898,0.9948,0.9751,0.9987,0.859,0.9286,1.220703125e-08
98,0.0006,1.0,0.0438,0.9898,0.9948,0.9751,0.9987,0.8606,0.9336,1.220703125e-08
99,0.0006,1.0,0.0434,0.9898,0.9948,0.9751,0.9987,0.859,0.9336,1.220703125e-08
100,0.0005,1.0,0.0447,0.9898,0.9948,0.9751,0.9985,0.8494,0.9188,1.220703125e-08
