epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.1944,0.9382,0.087,0.9681,0.9622,0.9851,0.9964,0.8766,0.926,0.0001
2,0.0593,0.9822,0.0622,0.9796,0.9794,0.9801,0.9984,0.851,0.8818,0.0001
3,0.036,0.9903,0.052,0.9821,0.9897,0.9602,0.9944,0.8205,0.8562,0.0001
4,0.0222,0.9937,0.0544,0.9834,0.988,0.9701,0.9982,0.8157,0.8658,0.0001
5,0.0217,0.9932,0.0723,0.9745,0.9708,0.9851,0.9983,0.8702,0.9201,0.0001
6,0.0179,0.9944,0.0539,0.9847,0.9914,0.9652,0.9984,0.8141,0.8883,5e-05
7,0.0117,0.9966,0.0496,0.9821,0.9811,0.9851,0.999,0.851,0.894,5e-05
8,0.0077,0.9975,0.0358,0.9872,0.9897,0.9801,0.997,0.8429,0.853,5e-05
9,0.0033,0.9993,0.0378,0.9885,0.9897,0.9851,0.9985,0.851,0.8661,5e-05
10,0.0031,0.9993,0.0433,0.9847,0.9983,0.9453,0.9931,0.7885,0.7525,5e-05
11,0.0039,0.9995,0.0532,0.9783,0.9759,0.9851,0.9989,0.8734,0.9152,2.5e-05
12,0.0051,0.9986,0.0295,0.9911,0.9948,0.9801,0.9963,0.8429,0.8435,2.5e-05
13,0.0038,0.9991,0.0357,0.9885,0.9914,0.9801,0.9971,0.8494,0.8858,2.5e-05
14,0.002,0.9995,0.0351,0.9872,0.9897,0.9801,0.997,0.851,0.885,2.5e-05
15,0.0019,0.9995,0.0297,0.9911,0.9948,0.9801,0.9966,0.8365,0.8623,1.25e-05
16,0.0023,0.9995,0.0279,0.9911,0.9966,0.9751,0.9964,0.8317,0.8418,1.25e-05
17,0.0019,0.9995,0.0331,0.9872,0.9897,0.9801,0.9965,0.8494,0.8541,1.25e-05
18,0.002,0.9995,0.0285,0.9923,0.9983,0.9751,0.997,0.8349,0.8354,1.25e-05
19,0.0024,0.9993,0.0356,0.9872,0.9897,0.9801,0.9965,0.8494,0.8566,6.25e-06
20,0.0028,0.9993,0.0341,0.9872,0.9897,0.9801,0.9971,0.8462,0.8459,6.25e-06
21,0.0016,0.9995,0.0314,0.9872,0.9897,0.9801,0.997,0.8365,0.8374,6.25e-06
22,0.0015,0.9995,0.0387,0.986,0.988,0.9801,0.9975,0.8542,0.855,6.25e-06
23,0.0019,0.9995,0.0295,0.9923,0.9966,0.9801,0.9966,0.8285,0.8289,3.125e-06
24,0.0017,0.9995,0.0364,0.9872,0.9897,0.9801,0.9972,0.8494,0.8519,3.125e-06
25,0.0017,0.9995,0.0341,0.9872,0.9897,0.9801,0.9965,0.8478,0.8397,3.125e-06
26,0.0016,0.9995,0.0301,0.9898,0.9931,0.9801,0.997,0.8317,0.8312,3.125e-06
27,0.0016,0.9995,0.0374,0.9872,0.9897,0.9801,0.997,0.8494,0.853,1.5625e-06
28,0.0018,0.9995,0.0305,0.9885,0.9914,0.9801,0.9963,0.8333,0.831,1.5625e-06
29,0.0018,0.9995,0.0317,0.9872,0.9897,0.9801,0.9963,0.8381,0.8312,1.5625e-06
30,0.0015,0.9995,0.0335,0.9872,0.9897,0.9801,0.9966,0.8429,0.8376,1.5625e-06
31,0.0019,0.9995,0.0313,0.9885,0.9914,0.9801,0.9963,0.8381,0.8316,7.8125e-07
32,0.0017,0.9995,0.029,0.9911,0.9966,0.9751,0.9962,0.8285,0.8216,7.8125e-07
33,0.0015,0.9995,0.0294,0.9911,0.9948,0.9801,0.996,0.8285,0.824,7.8125e-07
34,0.002,0.9995,0.027,0.9923,0.9983,0.9751,0.9957,0.8205,0.8087,7.8125e-07
35,0.0017,0.9995,0.0336,0.9872,0.9897,0.9801,0.9965,0.8429,0.8359,3.90625e-07
36,0.0017,0.9995,0.0301,0.9898,0.9931,0.9801,0.9963,0.8317,0.8267,3.90625e-07
37,0.0016,0.9995,0.0362,0.9872,0.9897,0.9801,0.997,0.8494,0.8462,3.90625e-07
38,0.0014,0.9995,0.0363,0.9872,0.9897,0.9801,0.9966,0.8494,0.845,3.90625e-07
39,0.0017,0.9995,0.0362,0.9872,0.9897,0.9801,0.9967,0.8494,0.8442,1.953125e-07
40,0.0018,0.9995,0.0325,0.9872,0.9897,0.9801,0.9966,0.8365,0.8309,1.953125e-07
41,0.0015,0.9995,0.0321,0.9872,0.9897,0.9801,0.9964,0.8381,0.8354,1.953125e-07
42,0.0018,0.9995,0.0355,0.9872,0.9897,0.9801,0.9966,0.8494,0.8419,1.953125e-07
43,0.002,0.9995,0.0312,0.9872,0.9897,0.9801,0.9964,0.8349,0.8274,9.765625e-08
44,0.0016,0.9995,0.0316,0.9872,0.9897,0.9801,0.9963,0.8349,0.8312,9.765625e-08
45,0.0019,0.9995,0.0349,0.9872,0.9897,0.9801,0.9962,0.851,0.8353,9.765625e-08
46,0.0016,0.9995,0.0269,0.9923,0.9983,0.9751,0.9959,0.8173,0.8114,9.765625e-08
47,0.0015,0.9995,0.0293,0.9923,0.9966,0.9801,0.9966,0.8301,0.8251,4.8828125e-08
48,0.0016,0.9995,0.0306,0.9898,0.9931,0.9801,0.9961,0.8333,0.8271,4.8828125e-08
49,0.002,0.9995,0.0386,0.9872,0.9897,0.9801,0.9975,0.8526,0.8503,4.8828125e-08
50,0.0015,0.9995,0.0334,0.9872,0.9897,0.9801,0.9964,0.8413,0.8321,4.8828125e-08
51,0.0016,0.9995,0.0314,0.9872,0.9897,0.9801,0.9965,0.8381,0.8332,2.44140625e-08
52,0.0016,0.9995,0.0297,0.9911,0.9948,0.9801,0.9964,0.8317,0.8237,2.44140625e-08
53,0.0019,0.9995,0.0286,0.9923,0.9966,0.9801,0.9958,0.8285,0.8197,2.44140625e-08
54,0.002,0.9995,0.0288,0.9911,0.9948,0.9801,0.9959,0.8301,0.8201,2.44140625e-08
55,0.0014,0.9995,0.0312,0.9885,0.9914,0.9801,0.996,0.8349,0.8272,1.220703125e-08
56,0.0014,0.9995,0.03,0.9898,0.9931,0.9801,0.9961,0.8317,0.8248,1.220703125e-08
57,0.0017,0.9995,0.0299,0.9898,0.9931,0.9801,0.996,0.8317,0.8238,1.220703125e-08
58,0.0017,0.9995,0.031,0.9885,0.9914,0.9801,0.9965,0.8349,0.8336,1.220703125e-08
59,0.0017,0.9995,0.029,0.9923,0.9966,0.9801,0.9964,0.8269,0.8206,1.220703125e-08
60,0.0017,0.9995,0.0356,0.9872,0.9897,0.9801,0.9965,0.851,0.8385,1.220703125e-08
61,0.0015,0.9995,0.0284,0.9911,0.9966,0.9751,0.9959,0.8285,0.8198,1.220703125e-08
