epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,lr
1,0.1903,0.1145,0.9515,0.9966,0.8209,0.9953,0.0001
2,0.0788,0.0521,0.9885,0.9931,0.9751,0.9972,0.0001
3,0.0696,0.0832,0.9668,0.9983,0.8756,0.9956,0.0001
4,0.0679,0.1049,0.9566,0.9983,0.8358,0.9958,0.0001
5,0.0453,0.0681,0.9796,0.9983,0.9254,0.9961,0.0001
6,0.0387,0.1389,0.9476,0.9983,0.801,0.9955,5e-05
7,0.0335,0.077,0.9745,0.9966,0.9104,0.9973,5e-05
8,0.0235,0.1467,0.9553,1.0,0.8259,0.994,5e-05
9,0.0225,0.1119,0.9642,0.9983,0.8657,0.997,5e-05
10,0.016,0.1426,0.9591,1.0,0.8408,0.9967,5e-05
11,0.0158,0.1071,0.9617,0.9966,0.8607,0.995,2.5e-05
12,0.0156,0.1218,0.9642,0.9966,0.8706,0.9954,2.5e-05
13,0.0167,0.0611,0.9808,0.9966,0.9353,0.9981,2.5e-05
14,0.0177,0.0676,0.9796,0.9966,0.9303,0.9968,2.5e-05
15,0.0122,0.0956,0.9745,1.0,0.9005,0.9946,2.5e-05
16,0.0184,0.13,0.963,1.0,0.8557,0.9935,2.5e-05
17,0.0112,0.0952,0.9681,0.9983,0.8806,0.997,1.25e-05
18,0.0096,0.0864,0.9706,0.9983,0.8905,0.9979,1.25e-05
19,0.0069,0.098,0.9706,1.0,0.8856,0.9978,1.25e-05
20,0.0067,0.138,0.9604,1.0,0.8458,0.9942,1.25e-05
21,0.0068,0.0822,0.9745,0.9983,0.9055,0.9962,6.25e-06
22,0.0062,0.0965,0.9693,0.9983,0.8856,0.9955,6.25e-06
23,0.005,0.0876,0.9719,0.9983,0.8955,0.9965,6.25e-06
24,0.0082,0.0852,0.9732,0.9983,0.9005,0.9964,6.25e-06
25,0.0053,0.1053,0.9681,1.0,0.8756,0.995,3.125e-06
26,0.004,0.109,0.9693,1.0,0.8806,0.9951,3.125e-06
27,0.0062,0.0966,0.9693,1.0,0.8806,0.9955,3.125e-06
28,0.0048,0.0932,0.9732,1.0,0.8955,0.9957,3.125e-06
29,0.0064,0.0899,0.9732,1.0,0.8955,0.9958,1.5625e-06
30,0.0083,0.1015,0.9681,1.0,0.8756,0.9952,1.5625e-06
31,0.005,0.0844,0.9757,1.0,0.9055,0.9961,1.5625e-06
32,0.0047,0.0969,0.9719,1.0,0.8905,0.9955,1.5625e-06
33,0.0056,0.106,0.9668,1.0,0.8706,0.9954,7.8125e-07
34,0.0032,0.0883,0.9757,1.0,0.9055,0.996,7.8125e-07
35,0.0049,0.0902,0.9745,1.0,0.9005,0.9959,7.8125e-07
36,0.0052,0.0855,0.9757,1.0,0.9055,0.9961,7.8125e-07
37,0.0051,0.0969,0.9706,1.0,0.8856,0.9956,3.90625e-07
38,0.0057,0.1094,0.9655,1.0,0.8657,0.9953,3.90625e-07
39,0.0041,0.0966,0.9706,1.0,0.8856,0.9959,3.90625e-07
40,0.0059,0.1197,0.9655,1.0,0.8657,0.9949,3.90625e-07
41,0.0041,0.0993,0.9693,1.0,0.8806,0.9955,1.953125e-07
42,0.0078,0.0694,0.977,0.9966,0.9204,0.9964,1.953125e-07
43,0.006,0.099,0.9693,1.0,0.8806,0.9956,1.953125e-07
44,0.0052,0.0841,0.9757,1.0,0.9055,0.9961,1.953125e-07
45,0.0045,0.1456,0.9604,1.0,0.8458,0.9935,9.765625e-08
46,0.0067,0.0857,0.9745,0.9983,0.9055,0.9958,9.765625e-08
47,0.0048,0.0981,0.9693,1.0,0.8806,0.9958,9.765625e-08
48,0.004,0.0994,0.9693,1.0,0.8806,0.9956,9.765625e-08
49,0.0072,0.0983,0.9693,1.0,0.8806,0.9954,4.8828125e-08
50,0.0053,0.1011,0.9693,1.0,0.8806,0.9954,4.8828125e-08
51,0.0071,0.1011,0.9693,1.0,0.8806,0.9956,4.8828125e-08
52,0.0039,0.0924,0.9745,1.0,0.9005,0.9956,4.8828125e-08
53,0.0063,0.107,0.9655,1.0,0.8657,0.9951,2.44140625e-08
54,0.0051,0.0768,0.9732,0.9966,0.9055,0.9963,2.44140625e-08
55,0.0066,0.1307,0.963,1.0,0.8557,0.9945,2.44140625e-08
56,0.0058,0.1025,0.9681,1.0,0.8756,0.9955,2.44140625e-08
57,0.0056,0.0942,0.9732,1.0,0.8955,0.9954,1.220703125e-08
58,0.0035,0.0908,0.9732,1.0,0.8955,0.9958,1.220703125e-08
59,0.0054,0.0926,0.9732,1.0,0.8955,0.9957,1.220703125e-08
60,0.0049,0.1044,0.9681,1.0,0.8756,0.9952,1.220703125e-08
61,0.0048,0.0995,0.9706,1.0,0.8856,0.9952,1.220703125e-08
62,0.0077,0.1124,0.9655,1.0,0.8657,0.9949,1.220703125e-08
63,0.0042,0.1023,0.9693,1.0,0.8806,0.9955,1.220703125e-08
64,0.0045,0.0661,0.977,0.9966,0.9204,0.9973,1.220703125e-08
65,0.0065,0.1,0.9693,1.0,0.8806,0.9956,1.220703125e-08
66,0.0057,0.105,0.9655,1.0,0.8657,0.9951,1.220703125e-08
67,0.0055,0.0838,0.9757,1.0,0.9055,0.996,1.220703125e-08
68,0.0046,0.0952,0.9732,1.0,0.8955,0.9955,1.220703125e-08
69,0.0052,0.1036,0.9693,1.0,0.8806,0.9951,1.220703125e-08
70,0.003,0.1023,0.9693,1.0,0.8806,0.9953,1.220703125e-08
71,0.0057,0.0968,0.9693,1.0,0.8806,0.9956,1.220703125e-08
72,0.0043,0.0776,0.9757,1.0,0.9055,0.9964,1.220703125e-08
73,0.0055,0.1293,0.9642,1.0,0.8607,0.9943,1.220703125e-08
74,0.0036,0.1188,0.9655,1.0,0.8657,0.9946,1.220703125e-08
75,0.0044,0.0705,0.977,0.9966,0.9204,0.9967,1.220703125e-08
76,0.0053,0.112,0.9655,1.0,0.8657,0.9952,1.220703125e-08
77,0.0042,0.1132,0.9655,1.0,0.8657,0.9948,1.220703125e-08
78,0.0041,0.0768,0.9757,1.0,0.9055,0.9963,1.220703125e-08
79,0.0052,0.097,0.9693,1.0,0.8806,0.9952,1.220703125e-08
80,0.005,0.1154,0.9655,1.0,0.8657,0.9949,1.220703125e-08
81,0.0061,0.0952,0.9719,1.0,0.8905,0.9958,1.220703125e-08
82,0.0051,0.0856,0.9757,1.0,0.9055,0.9962,1.220703125e-08
83,0.0065,0.1148,0.9655,1.0,0.8657,0.9945,1.220703125e-08
84,0.0037,0.0963,0.9719,1.0,0.8905,0.9956,1.220703125e-08
85,0.0051,0.084,0.9757,1.0,0.9055,0.9959,1.220703125e-08
86,0.0061,0.1105,0.9655,1.0,0.8657,0.9948,1.220703125e-08
87,0.0063,0.1186,0.9655,1.0,0.8657,0.9949,1.220703125e-08
88,0.0056,0.0949,0.9732,1.0,0.8955,0.9957,1.220703125e-08
89,0.0054,0.0952,0.9706,1.0,0.8856,0.9958,1.220703125e-08
90,0.0056,0.1036,0.9681,1.0,0.8756,0.9953,1.220703125e-08
91,0.0083,0.0985,0.9732,1.0,0.8955,0.9953,1.220703125e-08
92,0.0041,0.1051,0.9655,1.0,0.8657,0.9954,1.220703125e-08
93,0.0049,0.1083,0.9655,1.0,0.8657,0.9951,1.220703125e-08
94,0.0044,0.0927,0.9745,1.0,0.9005,0.9958,1.220703125e-08
95,0.0051,0.1157,0.9655,1.0,0.8657,0.995,1.220703125e-08
96,0.0034,0.0984,0.9693,1.0,0.8806,0.9956,1.220703125e-08
97,0.0042,0.105,0.9681,1.0,0.8756,0.9953,1.220703125e-08
98,0.0044,0.0969,0.9693,1.0,0.8806,0.9958,1.220703125e-08
99,0.0042,0.1098,0.9655,1.0,0.8657,0.9949,1.220703125e-08
100,0.0058,0.1135,0.9655,1.0,0.8657,0.9948,1.220703125e-08
