epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,lr
1,0.2487,0.0664,0.9796,0.9931,0.9403,0.9972,0.0001
2,0.063,0.0693,0.9745,0.9725,0.9801,0.9983,0.0001
3,0.0359,0.0449,0.9834,0.9845,0.9801,0.9985,0.0001
4,0.0255,0.0397,0.9847,0.9897,0.9701,0.9987,0.0001
5,0.0166,0.0531,0.9808,0.9863,0.9652,0.9982,0.0001
6,0.0164,0.0449,0.9834,0.9863,0.9751,0.9986,0.0001
7,0.006,0.0438,0.9821,0.9845,0.9751,0.9988,0.0001
8,0.0075,0.0554,0.9834,0.9845,0.9801,0.9985,0.0001
9,0.0039,0.0477,0.9847,0.9897,0.9701,0.9989,0.0001
10,0.0031,0.0771,0.9821,0.9828,0.9801,0.9988,0.0001
11,0.0038,0.0674,0.9847,0.9845,0.9851,0.9975,0.0001
12,0.0045,0.0471,0.986,0.988,0.9801,0.9988,0.0001
13,0.023,0.0459,0.9847,0.988,0.9751,0.9967,5e-05
14,0.0063,0.05,0.9834,0.9863,0.9751,0.9985,5e-05
15,0.0043,0.0541,0.9847,0.9845,0.9851,0.9987,5e-05
16,0.0042,0.0489,0.986,0.9863,0.9851,0.9989,5e-05
17,0.0015,0.0556,0.9872,0.9863,0.99,0.9989,2.5e-05
18,0.0025,0.0521,0.986,0.988,0.9801,0.999,2.5e-05
19,0.0018,0.0507,0.9847,0.9863,0.9801,0.9989,2.5e-05
20,0.003,0.0476,0.9834,0.988,0.9701,0.9991,2.5e-05
21,0.0021,0.0544,0.986,0.9863,0.9851,0.9989,2.5e-05
22,0.0018,0.0495,0.986,0.988,0.9801,0.9989,2.5e-05
23,0.002,0.0524,0.9847,0.988,0.9751,0.9988,2.5e-05
24,0.0013,0.0493,0.986,0.9897,0.9751,0.9988,1.25e-05
25,0.001,0.049,0.9834,0.988,0.9701,0.9988,1.25e-05
26,0.001,0.0535,0.9847,0.988,0.9751,0.9988,1.25e-05
27,0.0009,0.0509,0.9847,0.988,0.9751,0.9989,1.25e-05
28,0.0009,0.0531,0.9834,0.988,0.9701,0.9988,6.25e-06
29,0.0009,0.052,0.9834,0.988,0.9701,0.9988,6.25e-06
30,0.0018,0.0493,0.9834,0.988,0.9701,0.9989,6.25e-06
31,0.0016,0.0573,0.9847,0.9863,0.9801,0.9988,6.25e-06
32,0.001,0.0534,0.986,0.988,0.9801,0.9989,3.125e-06
33,0.001,0.0492,0.9847,0.988,0.9751,0.9989,3.125e-06
34,0.0007,0.0576,0.9847,0.9863,0.9801,0.9988,3.125e-06
35,0.0006,0.0603,0.9847,0.9863,0.9801,0.9989,3.125e-06
36,0.0016,0.0497,0.9834,0.988,0.9701,0.9989,1.5625e-06
37,0.0016,0.0516,0.9847,0.988,0.9751,0.9989,1.5625e-06
38,0.0011,0.0544,0.9847,0.9863,0.9801,0.9989,1.5625e-06
39,0.0011,0.0499,0.9834,0.988,0.9701,0.9989,1.5625e-06
40,0.0007,0.0524,0.9847,0.988,0.9751,0.9988,7.8125e-07
41,0.0026,0.0584,0.9847,0.9863,0.9801,0.9989,7.8125e-07
42,0.0012,0.0545,0.986,0.988,0.9801,0.9988,7.8125e-07
43,0.0008,0.0602,0.986,0.9863,0.9851,0.9988,7.8125e-07
44,0.0007,0.0537,0.986,0.988,0.9801,0.9989,3.90625e-07
45,0.0015,0.0507,0.9847,0.988,0.9751,0.9988,3.90625e-07
46,0.0006,0.0522,0.986,0.988,0.9801,0.9988,3.90625e-07
47,0.0009,0.0555,0.986,0.988,0.9801,0.9988,3.90625e-07
48,0.0008,0.055,0.986,0.988,0.9801,0.9988,1.953125e-07
49,0.0016,0.0626,0.986,0.9863,0.9851,0.9989,1.953125e-07
50,0.0019,0.0516,0.9847,0.988,0.9751,0.9989,1.953125e-07
51,0.0006,0.0571,0.986,0.9863,0.9851,0.9989,1.953125e-07
52,0.0017,0.0567,0.9847,0.9863,0.9801,0.9989,9.765625e-08
53,0.0012,0.0536,0.9847,0.988,0.9751,0.9989,9.765625e-08
54,0.0011,0.0515,0.9847,0.988,0.9751,0.9989,9.765625e-08
55,0.0011,0.0587,0.9847,0.9863,0.9801,0.9989,9.765625e-08
56,0.0014,0.0477,0.9834,0.988,0.9701,0.9988,4.8828125e-08
57,0.001,0.0567,0.9847,0.9863,0.9801,0.9989,4.8828125e-08
58,0.001,0.0532,0.986,0.988,0.9801,0.9988,4.8828125e-08
59,0.0014,0.0539,0.986,0.988,0.9801,0.9988,4.8828125e-08
60,0.0009,0.056,0.9847,0.9863,0.9801,0.9988,2.44140625e-08
61,0.0021,0.0548,0.9847,0.9863,0.9801,0.9988,2.44140625e-08
62,0.0017,0.0576,0.9847,0.9863,0.9801,0.9989,2.44140625e-08
63,0.0014,0.0584,0.9847,0.9863,0.9801,0.9988,2.44140625e-08
64,0.0033,0.0486,0.9847,0.9897,0.9701,0.9989,1.220703125e-08
65,0.001,0.0514,0.986,0.988,0.9801,0.9989,1.220703125e-08
66,0.0011,0.0564,0.986,0.988,0.9801,0.9988,1.220703125e-08
67,0.0013,0.0558,0.986,0.988,0.9801,0.9989,1.220703125e-08
68,0.0009,0.0601,0.9847,0.9863,0.9801,0.9988,1.220703125e-08
69,0.0013,0.0503,0.9847,0.988,0.9751,0.9988,1.220703125e-08
70,0.0014,0.0559,0.9847,0.9863,0.9801,0.9989,1.220703125e-08
71,0.0011,0.055,0.9847,0.9863,0.9801,0.9989,1.220703125e-08
72,0.0011,0.051,0.9834,0.988,0.9701,0.9988,1.220703125e-08
73,0.0009,0.0612,0.9847,0.9863,0.9801,0.9989,1.220703125e-08
74,0.0008,0.0533,0.9847,0.988,0.9751,0.9989,1.220703125e-08
75,0.0013,0.0554,0.986,0.988,0.9801,0.9989,1.220703125e-08
76,0.0009,0.0601,0.986,0.9863,0.9851,0.9989,1.220703125e-08
77,0.0011,0.0502,0.9847,0.988,0.9751,0.9989,1.220703125e-08
78,0.0008,0.0528,0.986,0.988,0.9801,0.9989,1.220703125e-08
79,0.0006,0.0534,0.9847,0.988,0.9751,0.9989,1.220703125e-08
80,0.0014,0.0569,0.9847,0.9863,0.9801,0.9988,1.220703125e-08
81,0.0007,0.0532,0.986,0.988,0.9801,0.9989,1.220703125e-08
82,0.002,0.0505,0.9847,0.988,0.9751,0.9988,1.220703125e-08
83,0.001,0.0495,0.9834,0.988,0.9701,0.9989,1.220703125e-08
84,0.0007,0.0563,0.986,0.988,0.9801,0.9989,1.220703125e-08
85,0.0007,0.0619,0.986,0.9863,0.9851,0.9988,1.220703125e-08
86,0.0015,0.0633,0.986,0.9863,0.9851,0.9989,1.220703125e-08
87,0.0007,0.0514,0.986,0.988,0.9801,0.9989,1.220703125e-08
88,0.002,0.0569,0.986,0.988,0.9801,0.9989,1.220703125e-08
89,0.0006,0.0499,0.9847,0.988,0.9751,0.9989,1.220703125e-08
90,0.0016,0.052,0.9847,0.988,0.9751,0.9988,1.220703125e-08
91,0.001,0.0561,0.9847,0.9863,0.9801,0.9989,1.220703125e-08
92,0.0005,0.0562,0.9847,0.9863,0.9801,0.9989,1.220703125e-08
93,0.0006,0.0623,0.9847,0.9845,0.9851,0.9989,1.220703125e-08
94,0.0007,0.0607,0.9847,0.9863,0.9801,0.9989,1.220703125e-08
95,0.0011,0.0504,0.9847,0.988,0.9751,0.9988,1.220703125e-08
96,0.0021,0.0542,0.986,0.988,0.9801,0.9988,1.220703125e-08
97,0.0017,0.0521,0.9847,0.988,0.9751,0.9988,1.220703125e-08
98,0.0009,0.0584,0.9847,0.9863,0.9801,0.9989,1.220703125e-08
99,0.001,0.0524,0.9847,0.988,0.9751,0.9989,1.220703125e-08
100,0.001,0.0526,0.9847,0.988,0.9751,0.9989,1.220703125e-08
