epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,lr
1,0.2118,0.2549,0.871,1.0,0.4975,0.9942,0.0001
2,0.1084,0.1761,0.9336,0.9966,0.7512,0.9932,0.0001
3,0.0837,0.1185,0.9515,0.9983,0.8159,0.997,0.0001
4,0.0747,0.2901,0.8914,0.9983,0.5821,0.9924,0.0001
5,0.0621,0.2424,0.9119,1.0,0.6567,0.9972,0.0001
6,0.0485,0.1129,0.9617,0.9948,0.8657,0.9967,0.0001
7,0.0451,0.0718,0.9719,0.9948,0.9055,0.9967,0.0001
8,0.0432,0.7914,0.8212,1.0,0.3035,0.9706,0.0001
9,0.0419,0.1683,0.9413,0.9966,0.7811,0.9962,5e-05
10,0.0255,0.2398,0.9246,1.0,0.7065,0.9976,5e-05
11,0.0241,0.1718,0.9438,1.0,0.7811,0.997,5e-05
12,0.0131,0.4231,0.9004,1.0,0.6119,0.9962,5e-05
13,0.0206,0.1606,0.9476,0.9983,0.801,0.9977,5e-05
14,0.0143,0.2456,0.9336,0.9983,0.7463,0.9957,5e-05
15,0.0173,0.4391,0.8927,1.0,0.5821,0.9946,5e-05
16,0.0161,0.2088,0.9438,0.9983,0.7861,0.9954,5e-05
17,0.0211,0.4726,0.8851,0.9983,0.5572,0.9911,2.5e-05
18,0.0117,0.1816,0.9451,0.9983,0.791,0.9976,2.5e-05
19,0.0079,0.2618,0.9259,0.9983,0.7164,0.9965,2.5e-05
20,0.011,0.2958,0.9285,1.0,0.7214,0.998,2.5e-05
21,0.0066,0.2229,0.9387,1.0,0.7612,0.9977,2.5e-05
22,0.0062,0.3214,0.9221,0.9983,0.7015,0.9958,2.5e-05
23,0.011,0.1317,0.9617,0.9983,0.8557,0.9974,2.5e-05
24,0.0093,0.3651,0.9144,1.0,0.6667,0.994,1.25e-05
25,0.0042,0.2905,0.9221,0.9983,0.7015,0.9948,1.25e-05
26,0.0038,0.3231,0.9208,0.9983,0.6965,0.9949,1.25e-05
27,0.0046,0.253,0.9336,0.9983,0.7463,0.9952,1.25e-05
28,0.0038,0.2128,0.9413,0.9983,0.7761,0.995,6.25e-06
29,0.0027,0.2673,0.9336,0.9983,0.7463,0.9951,6.25e-06
30,0.0033,0.2657,0.9336,0.9983,0.7463,0.9947,6.25e-06
31,0.0045,0.2258,0.9413,0.9983,0.7761,0.9952,6.25e-06
32,0.0051,0.232,0.9413,0.9983,0.7761,0.9948,3.125e-06
33,0.003,0.2559,0.9361,0.9983,0.7562,0.9945,3.125e-06
34,0.0023,0.2119,0.9438,0.9983,0.7861,0.9951,3.125e-06
35,0.0029,0.2227,0.9413,0.9983,0.7761,0.9953,3.125e-06
36,0.0028,0.1868,0.9489,0.9983,0.806,0.9951,1.5625e-06
37,0.0032,0.2097,0.9464,0.9983,0.796,0.9955,1.5625e-06
38,0.0031,0.2289,0.9387,0.9983,0.7662,0.9948,1.5625e-06
39,0.0042,0.2589,0.931,0.9983,0.7363,0.9955,1.5625e-06
40,0.0034,0.2334,0.9413,0.9983,0.7761,0.9954,7.8125e-07
